*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
560.000000	0.00196965	560.000000	0.00201727	560.000000	0.0019797 	560.000000	0.00197551	560.000000	0.00201684	560.000000	4.36831e-07	
580.000000	0.00194213	580.000000	0.00199094	580.000000	0.00195411	580.000000	0.00194999	580.000000	0.00199052	580.000000	4.22861e-07	
600.000000	0.00191653	600.000000	0.00196649	600.000000	0.00193036	600.000000	0.00192632	600.000000	0.00196608	600.000000	4.09786e-07	
620.000000	0.00189268	620.000000	0.00194375	620.000000	0.00190831	620.000000	0.00190432	620.000000	0.00194335	620.000000	3.97523e-07	
640.000000	0.00187042	640.000000	0.00192255	640.000000	0.0018879 	640.000000	0.00188384	640.000000	0.00192216	640.000000	3.85997e-07	
660.000000	0.00184961	660.000000	0.00190277	660.000000	0.00186885	660.000000	0.00186473	660.000000	0.00190239	660.000000	3.75143e-07	
680.000000	0.00183014	680.000000	0.00188427	680.000000	0.00185096	680.000000	0.00184689	680.000000	0.00188391	680.000000	3.64902e-07	
700.000000	0.00181189	700.000000	0.00186696	700.000000	0.00183419	700.000000	0.00183019	700.000000	0.0018666 	700.000000	3.55225e-07	
720.000000	0.00179477	720.000000	0.00185074	720.000000	0.00181851	720.000000	0.00181455	720.000000	0.00185039	720.000000	3.46064e-07	
740.000000	0.00177869	740.000000	0.00183551	740.000000	0.00180379	740.000000	0.00179987	740.000000	0.00183517	740.000000	3.3738e-07	
760.000000	0.00176357	760.000000	0.00182121	760.000000	0.00178995	760.000000	0.00178609	760.000000	0.00182088	760.000000	3.29136e-07	
