*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
460.000000	0.00516229	460.000000	0.00596515	460.000000	0.00593345	460.000000	0.00591142	460.000000	0.00596366	460.000000	1.48945e-06
470.000000	0.00511205	470.000000	0.00590863	470.000000	0.00587694	470.000000	0.00585522	470.000000	0.00590717	470.000000	1.46001e-06
480.000000	0.00506392	480.000000	0.00585454	480.000000	0.00582304	480.000000	0.00580147	480.000000	0.00585311	480.000000	1.43174e-06
490.000000	0.00501777	490.000000	0.00580273	490.000000	0.00577164	490.000000	0.00575001	490.000000	0.00580133	490.000000	1.40459e-06
500.000000	0.00497349	500.000000	0.00575308	500.000000	0.00572238	500.000000	0.00570072	500.000000	0.0057517 	500.000000	1.37848e-06
520.000000	0.00489012	520.000000	0.00565973	520.000000	0.00562938	520.000000	0.00560815	520.000000	0.00565841	520.000000	1.32917e-06
540.000000	0.00481307	540.000000	0.00557363	540.000000	0.00554393	540.000000	0.00552284	540.000000	0.00557235	540.000000	1.28337e-06
560.000000	0.00474169	560.000000	0.00549401	560.000000	0.00546514	560.000000	0.00544404	560.000000	0.00549277	560.000000	1.24073e-06
580.000000	0.00467543	580.000000	0.00542023	580.000000	0.00539178	580.000000	0.00537107	580.000000	0.00541903	580.000000	1.20092e-06
600.000000	0.00461381	600.000000	0.0053517 	600.000000	0.00532398	600.000000	0.00530337	600.000000	0.00535054	600.000000	1.16366e-06
620.000000	0.00455638	620.000000	0.00528795	620.000000	0.00526108	620.000000	0.00524043	620.000000	0.00528682	620.000000	1.12872e-06
640.000000	0.00450279	640.000000	0.00522853	640.000000	0.00520216	640.000000	0.00518179	640.000000	0.00522743	640.000000	1.09588e-06
660.000000	0.00445271	660.000000	0.00517306	660.000000	0.00514721	660.000000	0.00512708	660.000000	0.00517199	660.000000	1.06497e-06
680.000000	0.00440583	680.000000	0.00512119	680.000000	0.00509613	680.000000	0.00507595	680.000000	0.00512016	680.000000	1.0358e-06
700.000000	0.0043619 	700.000000	0.00507264	700.000000	0.00504824	700.000000	0.00502809	700.000000	0.00507163	700.000000	1.00824e-06
720.000000	0.00432068	720.000000	0.00502712	720.000000	0.00500312	720.000000	0.00498323	720.000000	0.00502614	720.000000	9.82154e-07
740.000000	0.00428197	740.000000	0.0049844 	740.000000	0.00496082	740.000000	0.00494112	740.000000	0.00498345	740.000000	9.57427e-07
760.000000	0.00424558	760.000000	0.00494427	760.000000	0.00492127	760.000000	0.00490155	760.000000	0.00494334	760.000000	9.33955e-07
780.000000	0.00421135	780.000000	0.00490652	780.000000	0.00488408	780.000000	0.00486432	780.000000	0.00490561	780.000000	9.11643e-07
800.000000	0.00417911	800.000000	0.00487099	800.000000	0.00484888	800.000000	0.00482925	800.000000	0.0048701 	800.000000	8.90407e-07
820.000000	0.00414873	820.000000	0.00483752	820.000000	0.00481559	820.000000	0.00479619	820.000000	0.00483665	820.000000	8.70168e-07
840.000000	0.00412008	840.000000	0.00480595	840.000000	0.00478425	840.000000	0.00476498	840.000000	0.0048051 	840.000000	8.50859e-07
860.000000	0.00409306	860.000000	0.00477617	860.000000	0.00475479	860.000000	0.0047355 	860.000000	0.00477534	860.000000	8.32415e-07
880.000000	0.00406755	880.000000	0.00474806	880.000000	0.00472696	880.000000	0.00470763	880.000000	0.00474724	880.000000	8.1478e-07
900.000000	0.00404347	900.000000	0.00472149	900.000000	0.00470054	900.000000	0.00468125	900.000000	0.0047207 	900.000000	7.979e-07
920.000000	0.00402072	920.000000	0.00469639	920.000000	0.00467541	920.000000	0.00465628	920.000000	0.00469561	920.000000	7.81728e-07
940.000000	0.00399922	940.000000	0.00467265	940.000000	0.00465158	940.000000	0.00463261	940.000000	0.00467188	940.000000	7.66219e-07
960.000000	0.0039789 	960.000000	0.00465019	960.000000	0.00462903	960.000000	0.00461016	960.000000	0.00464944	960.000000	7.51333e-07
980.000000	0.00395969	980.000000	0.00462894	980.000000	0.00460772	980.000000	0.00458885	980.000000	0.0046282 	980.000000	7.37033e-07
1000.000000	0.00394154	1000.000000	0.00460882	1000.000000	0.00458753	1000.000000	0.00456862	1000.000000	0.00460809	1000.000000	7.23285e-07
1020.000000	0.00392437	1020.000000	0.00458977	1020.000000	0.00456833	1020.000000	0.0045494 	1020.000000	0.00458906	1020.000000	7.10056e-07
1040.000000	0.00390814	1040.000000	0.00457172	1040.000000	0.00455001	1040.000000	0.00453113	1040.000000	0.00457103	1040.000000	6.97318e-07
1060.000000	0.0038928 	1060.000000	0.00455463	1060.000000	0.00453251	1060.000000	0.00451376	1060.000000	0.00455395	1060.000000	6.85044e-07
1080.000000	0.0038783 	1080.000000	0.00453844	1080.000000	0.00451585	1080.000000	0.00449722	1080.000000	0.00453777	1080.000000	6.73208e-07
1100.000000	0.00386459	1100.000000	0.00452311	1100.000000	0.0045    	1100.000000	0.00448148	1100.000000	0.00452245	1100.000000	6.61787e-07
1120.000000	0.00385165	1120.000000	0.00450858	1120.000000	0.00448496	1120.000000	0.00446648	1120.000000	0.00450793	1120.000000	6.50759e-07
1140.000000	0.00383942	1140.000000	0.00449482	1140.000000	0.00447068	1140.000000	0.0044522 	1140.000000	0.00449418	1140.000000	6.40105e-07
1160.000000	0.00382789	1160.000000	0.00448178	1160.000000	0.00445709	1160.000000	0.00443858	1160.000000	0.00448115	1160.000000	6.29805e-07
1180.000000	0.003817  	1180.000000	0.00446944	1180.000000	0.00444413	1180.000000	0.0044256 	1180.000000	0.00446882	1180.000000	6.19842e-07
1200.000000	0.00380674	1200.000000	0.00445775	1200.000000	0.00443175	1200.000000	0.00441322	1200.000000	0.00445714	1200.000000	6.10199e-07
1220.000000	0.00379707	1220.000000	0.00444669	1220.000000	0.00441988	1220.000000	0.0044014 	1220.000000	0.00444609	1220.000000	6.00861e-07
1240.000000	0.00378797	1240.000000	0.00443622	1240.000000	0.00440853	1240.000000	0.00439013	1240.000000	0.00443563	1240.000000	5.91814e-07
1260.000000	0.00377941	1260.000000	0.00442633	1260.000000	0.00439767	1260.000000	0.00437937	1260.000000	0.00442574	1260.000000	5.83044e-07
1280.000000	0.00377137	1280.000000	0.00441697	1280.000000	0.00438731	1280.000000	0.00436909	1280.000000	0.0044164 	1280.000000	5.74538e-07
1300.000000	0.00376382	1300.000000	0.00440813	1300.000000	0.00437742	1300.000000	0.00435928	1300.000000	0.00440756	1300.000000	5.66285e-07
1320.000000	0.00375675	1320.000000	0.00439979	1320.000000	0.00436801	1320.000000	0.0043499 	1320.000000	0.00439923	1320.000000	5.58273e-07
1340.000000	0.00375014	1340.000000	0.00439191	1340.000000	0.00435905	1340.000000	0.00434095	1340.000000	0.00439136	1340.000000	5.50492e-07
1360.000000	0.00374396	1360.000000	0.00438449	1360.000000	0.0043505 	1360.000000	0.00433239	1360.000000	0.00438395	1360.000000	5.42931e-07
1380.000000	0.0037382 	1380.000000	0.0043775 	1380.000000	0.00434235	1380.000000	0.00432421	1380.000000	0.00437697	1380.000000	5.35582e-07
1400.000000	0.00373284	1400.000000	0.00437093	1400.000000	0.00433455	1400.000000	0.0043164 	1400.000000	0.0043704 	1400.000000	5.28436e-07
1420.000000	0.00372787	1420.000000	0.00436475	1420.000000	0.00432709	1420.000000	0.00430893	1420.000000	0.00436423	1420.000000	5.21483e-07
