*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
340.000000	0.0207088 	340.000000	0.0135552 	340.000000	0.0133854 	340.000000	0.0133545 	340.000000	0.013552  	340.000000	3.19469e-06	
350.000000	0.0203964 	350.000000	0.0133714 	350.000000	0.0132009 	350.000000	0.0131692 	350.000000	0.0133683 	350.000000	3.11148e-06	
360.000000	0.0201008 	360.000000	0.0131978 	360.000000	0.0130261 	360.000000	0.0129942 	360.000000	0.0131947 	360.000000	3.03266e-06	
370.000000	0.0198208 	370.000000	0.0130334 	370.000000	0.01286   	370.000000	0.0128287 	370.000000	0.0130305 	370.000000	2.95791e-06	
380.000000	0.0195552 	380.000000	0.0128777 	380.000000	0.0127027 	380.000000	0.012672  	380.000000	0.0128748 	380.000000	2.8869e-06	
390.000000	0.0193029 	390.000000	0.01273   	390.000000	0.0125536 	390.000000	0.0125233 	390.000000	0.0127272 	390.000000	2.81936e-06	
400.000000	0.0190629 	400.000000	0.0125897 	400.000000	0.0124119 	400.000000	0.0123823 	400.000000	0.0125869 	400.000000	2.75503e-06	
410.000000	0.0188345 	410.000000	0.0124562 	410.000000	0.0122775 	410.000000	0.0122482 	410.000000	0.0124535 	410.000000	2.6937e-06	
420.000000	0.0186168 	420.000000	0.0123292 	420.000000	0.0121505 	420.000000	0.0121206 	420.000000	0.0123266 	420.000000	2.63515e-06	
430.000000	0.0184091 	430.000000	0.0122082 	430.000000	0.0120295 	430.000000	0.0119992 	430.000000	0.0122056 	430.000000	2.57919e-06	
440.000000	0.0182107 	440.000000	0.0120927 	440.000000	0.0119137 	440.000000	0.0118835 	440.000000	0.0120902 	440.000000	2.52566e-06	
450.000000	0.0180212 	450.000000	0.0119825 	450.000000	0.0118027 	450.000000	0.011773  	450.000000	0.01198   	450.000000	2.47439e-06	
460.000000	0.0178398 	460.000000	0.0118772 	460.000000	0.0116969 	460.000000	0.0116676 	460.000000	0.0118748 	460.000000	2.42525e-06	
470.000000	0.0176662 	470.000000	0.0117765 	470.000000	0.0115959 	470.000000	0.0115669 	470.000000	0.0117741 	470.000000	2.3781e-06	
480.000000	0.0174999 	480.000000	0.01168   	480.000000	0.0114992 	480.000000	0.0114706 	480.000000	0.0116777 	480.000000	2.33283e-06	
490.000000	0.0173404 	490.000000	0.0115877 	490.000000	0.0114065 	490.000000	0.0113784 	490.000000	0.0115854 	490.000000	2.28931e-06	
500.000000	0.0171874 	500.000000	0.0114992 	500.000000	0.0113181 	500.000000	0.0112901 	500.000000	0.0114969 	500.000000	2.24746e-06	
520.000000	0.0168993 	520.000000	0.0113327 	520.000000	0.011153  	520.000000	0.0111243 	520.000000	0.0113306 	520.000000	2.16836e-06	
540.000000	0.016633  	540.000000	0.0111792 	540.000000	0.0110004 	540.000000	0.0109717 	540.000000	0.0111771 	540.000000	2.09485e-06	
560.000000	0.0163863 	560.000000	0.0110373 	560.000000	0.0108589 	560.000000	0.0108308 	560.000000	0.0110352 	560.000000	2.02636e-06	
580.000000	0.0161574 	580.000000	0.0109057 	580.000000	0.0107282 	580.000000	0.0107006 	580.000000	0.0109037 	580.000000	1.96237e-06	
600.000000	0.0159444 	600.000000	0.0107835 	600.000000	0.0106069 	600.000000	0.0105798 	600.000000	0.0107816 	600.000000	1.90246e-06	
620.000000	0.0157459 	620.000000	0.0106699 	620.000000	0.0104944 	620.000000	0.0104677 	620.000000	0.010668  	620.000000	1.84623e-06	
640.000000	0.0155607 	640.000000	0.010564  	640.000000	0.0103906 	640.000000	0.0103634 	640.000000	0.0105622 	640.000000	1.79337e-06	
660.000000	0.0153877 	660.000000	0.0104651 	660.000000	0.0102938 	660.000000	0.0102662 	660.000000	0.0104633 	660.000000	1.74356e-06	
680.000000	0.0152256 	680.000000	0.0103727 	680.000000	0.0102028 	680.000000	0.0101755 	680.000000	0.010371  	680.000000	1.69655e-06	
700.000000	0.0150738 	700.000000	0.0102862 	700.000000	0.0101176 	700.000000	0.0100908 	700.000000	0.0102845 	700.000000	1.65211e-06	
720.000000	0.0149314 	720.000000	0.0102051 	720.000000	0.0100381 	720.000000	0.0100116 	720.000000	0.0102035 	720.000000	1.61003e-06	
740.000000	0.0147976 	740.000000	0.0101291 	740.000000	0.0099635 	740.000000	0.00993729	740.000000	0.0101275 	740.000000	1.57011e-06	
760.000000	0.0146719 	760.000000	0.0100576 	760.000000	0.00989346	760.000000	0.00986764	760.000000	0.0100561 	760.000000	1.53221e-06	
780.000000	0.0145536 	780.000000	0.00999046	780.000000	0.00982785	780.000000	0.00980224	780.000000	0.00998896	780.000000	1.49616e-06	
800.000000	0.0144421 	800.000000	0.00992727	800.000000	0.00976657	800.000000	0.00974078	800.000000	0.0099258 	800.000000	1.46184e-06	
820.000000	0.0143372 	820.000000	0.00986775	820.000000	0.00970911	820.000000	0.00968296	820.000000	0.00986632	820.000000	1.42912e-06	
840.000000	0.0142382 	840.000000	0.00981167	840.000000	0.00965642	840.000000	0.00963008	840.000000	0.00981027	840.000000	1.39788e-06	
860.000000	0.0141448 	860.000000	0.00975878	860.000000	0.00960629	860.000000	0.00958007	860.000000	0.00975741	860.000000	1.36804e-06	
880.000000	0.0140566 	880.000000	0.00970887	880.000000	0.00955888	880.000000	0.00953295	880.000000	0.00970753	880.000000	1.33949e-06	
900.000000	0.0139734 	900.000000	0.00966174	900.000000	0.00951416	900.000000	0.00948852	900.000000	0.00966043	900.000000	1.31215e-06	
920.000000	0.0138948 	920.000000	0.00961723	920.000000	0.00947203	920.000000	0.0094466 	920.000000	0.00961594	920.000000	1.28595e-06	
940.000000	0.0138205 	940.000000	0.00957517	940.000000	0.00943229	940.000000	0.00940703	940.000000	0.00957391	940.000000	1.26082e-06	
960.000000	0.0137503 	960.000000	0.0095354 	960.000000	0.00939478	960.000000	0.00936966	960.000000	0.00953417	960.000000	1.23668e-06	
980.000000	0.0136839 	980.000000	0.0094978 	980.000000	0.00935934	980.000000	0.00933435	980.000000	0.00949658	980.000000	1.21349e-06	
1000.000000	0.0136212 	1000.000000	0.00946223	1000.000000	0.00932582	1000.000000	0.00930098	1000.000000	0.00946104	1000.000000	1.19119e-06	
1020.000000	0.0135618 	1020.000000	0.00942858	1020.000000	0.00929409	1020.000000	0.00926942	1020.000000	0.00942741	1020.000000	1.16972e-06	
1040.000000	0.0135057 	1040.000000	0.00939674	1040.000000	0.00926403	1040.000000	0.00923957	1040.000000	0.00939559	1040.000000	1.14904e-06	
1060.000000	0.0134527 	1060.000000	0.00936661	1060.000000	0.00923558	1060.000000	0.00921133	1060.000000	0.00936548	1060.000000	1.12911e-06	
1080.000000	0.0134026 	1080.000000	0.0093381 	1080.000000	0.00920869	1080.000000	0.0091846 	1080.000000	0.00933699	1080.000000	1.10989e-06	
1100.000000	0.0133553 	1100.000000	0.00931111	1100.000000	0.00918331	1100.000000	0.0091593 	1100.000000	0.00931002	1100.000000	1.09133e-06	
1120.000000	0.0133105 	1120.000000	0.00928558	1120.000000	0.0091594 	1120.000000	0.00913534	1120.000000	0.00928451	1120.000000	1.07341e-06	
1140.000000	0.0132683 	1140.000000	0.00926143	1140.000000	0.00913685	1140.000000	0.00911266	1140.000000	0.00926037	1140.000000	1.05609e-06	
1160.000000	0.0132284 	1160.000000	0.00923858	1160.000000	0.00911555	1160.000000	0.00909117	1160.000000	0.00923754	1160.000000	1.03934e-06	
1180.000000	0.0131908 	1180.000000	0.00921697	1180.000000	0.00909537	1180.000000	0.00907083	1180.000000	0.00921595	1180.000000	1.02313e-06	
1200.000000	0.0131553 	1200.000000	0.00919654	1200.000000	0.00907621	1200.000000	0.00905156	1200.000000	0.00919554	1200.000000	1.00744e-06	
1220.000000	0.0131219 	1220.000000	0.00917724	1220.000000	0.00905798	1220.000000	0.00903331	1220.000000	0.00917625	1220.000000	9.92248e-07	
1240.000000	0.0130905 	1240.000000	0.00915901	1240.000000	0.00904063	1240.000000	0.00901603	1240.000000	0.00915803	1240.000000	9.7752e-07	
1260.000000	0.0130609 	1260.000000	0.00914179	1260.000000	0.00902416	1260.000000	0.00899967	1260.000000	0.00914083	1260.000000	9.6324e-07	
1280.000000	0.0130331 	1280.000000	0.00912555	1280.000000	0.00900853	1280.000000	0.00898417	1280.000000	0.0091246 	1280.000000	9.49387e-07	
