*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
300.000000	1.02004   	300.000000	0.911694  	300.000000	0.920813  	300.000000	0.904337  	300.000000	0.911445  	300.000000	0.00024915
310.000000	1.00186   	310.000000	0.896182  	310.000000	0.904973  	310.000000	0.888507  	310.000000	0.895941  	310.000000	0.0002418
320.000000	0.984758  	320.000000	0.881625  	320.000000	0.890086  	320.000000	0.873631  	320.000000	0.88139   	320.000000	0.000234888
330.000000	0.968657  	330.000000	0.86794   	330.000000	0.876093  	330.000000	0.859652  	330.000000	0.867711  	330.000000	0.000228376
340.000000	0.953468  	340.000000	0.855051  	340.000000	0.862916  	340.000000	0.846492  	340.000000	0.854829  	340.000000	0.000222229
350.000000	0.939116  	350.000000	0.842893  	350.000000	0.850487  	350.000000	0.834083  	350.000000	0.842677  	350.000000	0.000216418
360.000000	0.925537  	360.000000	0.831407  	360.000000	0.838761  	360.000000	0.822367  	360.000000	0.831196  	360.000000	0.000210915
370.000000	0.91267   	370.000000	0.820541  	370.000000	0.827664  	370.000000	0.811287  	370.000000	0.820335  	370.000000	0.000205695
380.000000	0.900462  	380.000000	0.810247  	380.000000	0.817105  	380.000000	0.800797  	380.000000	0.810046  	380.000000	0.000200738
390.000000	0.888864  	390.000000	0.800482  	390.000000	0.807078  	390.000000	0.790852  	390.000000	0.800286  	390.000000	0.000196023
400.000000	0.877834  	400.000000	0.791208  	400.000000	0.797599  	400.000000	0.781412  	400.000000	0.791017  	400.000000	0.000191534
410.000000	0.867332  	410.000000	0.782391  	410.000000	0.78862   	410.000000	0.772442  	410.000000	0.782204  	410.000000	0.000187254
420.000000	0.857323  	420.000000	0.773998  	420.000000	0.78008   	420.000000	0.763909  	420.000000	0.773815  	420.000000	0.000183168
430.000000	0.847773  	430.000000	0.766002  	430.000000	0.771925  	430.000000	0.755783  	430.000000	0.765823  	430.000000	0.000179263
440.000000	0.838652  	440.000000	0.758376  	440.000000	0.764114  	440.000000	0.748039  	440.000000	0.7582    	440.000000	0.000175529
450.000000	0.829935  	450.000000	0.751095  	450.000000	0.756656  	450.000000	0.74065   	450.000000	0.750923  	450.000000	0.000171952
460.000000	0.821595  	460.000000	0.744139  	460.000000	0.749568  	460.000000	0.733595  	460.000000	0.74397   	460.000000	0.000168525
470.000000	0.81361   	470.000000	0.737487  	470.000000	0.742812  	470.000000	0.726852  	470.000000	0.737322  	470.000000	0.000165236
