Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
1100.000000	0.063161  	1100.000000	0.0484005 	1100.000000	0.0488563 	1100.000000	0.0483021 	1100.000000	0.0483949 	1100.000000	5.65839e-06	
1120.000000	0.0629494 	1120.000000	0.048263  	1120.000000	0.0487238 	1120.000000	0.0481711 	1120.000000	0.0482574 	1120.000000	5.5653e-06	
1140.000000	0.0627496 	1140.000000	0.0481328 	1140.000000	0.0485983 	1140.000000	0.0480469 	1140.000000	0.0481274 	1140.000000	5.47534e-06	
1160.000000	0.0625611 	1160.000000	0.0480098 	1160.000000	0.0484792 	1160.000000	0.0479293 	1160.000000	0.0480044 	1160.000000	5.38835e-06	
1180.000000	0.0623832 	1180.000000	0.0478934 	1180.000000	0.0483664 	1180.000000	0.0478179 	1180.000000	0.0478881 	1180.000000	5.30418e-06	
1200.000000	0.0622154 	1200.000000	0.0477835 	1200.000000	0.0482595 	1200.000000	0.0477122 	1200.000000	0.0477782 	1200.000000	5.22271e-06	
1220.000000	0.0620574 	1220.000000	0.0476796 	1220.000000	0.0481582 	1220.000000	0.0476122 	1220.000000	0.0476744 	1220.000000	5.14379e-06	
1240.000000	0.0619087 	1240.000000	0.0475815 	1240.000000	0.0480621 	1240.000000	0.0475173 	1240.000000	0.0475764 	1240.000000	5.06731e-06	
1260.000000	0.0617688 	1260.000000	0.0474889 	1260.000000	0.0479711 	1260.000000	0.0474275 	1260.000000	0.0474839 	1260.000000	4.99315e-06	
1280.000000	0.0616374 	1280.000000	0.0474015 	1280.000000	0.0478849 	1280.000000	0.0473423 	1280.000000	0.0473966 	1280.000000	4.92122e-06	
1300.000000	0.061514  	1300.000000	0.0473192 	1300.000000	0.0478031 	1300.000000	0.0472616 	1300.000000	0.0473144 	1300.000000	4.8514e-06	
1320.000000	0.0613985 	1320.000000	0.0472417 	1320.000000	0.0477255 	1320.000000	0.0471852 	1320.000000	0.0472369 	1320.000000	4.78361e-06	
1340.000000	0.0612904 	1340.000000	0.0471688 	1340.000000	0.0476521 	1340.000000	0.0471129 	1340.000000	0.0471641 	1340.000000	4.71777e-06	
