*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
140.000000	0.00843723	140.000000	0.00590411	140.000000	0.00591664	140.000000	0.00590618	140.000000	0.00590224	140.000000	1.86679e-06
145.000000	0.00822845	145.000000	0.00576914	145.000000	0.00578033	145.000000	0.00577025	145.000000	0.00576733	145.000000	1.80832e-06
150.000000	0.00803259	150.000000	0.00564267	150.000000	0.00565261	150.000000	0.00564279	150.000000	0.00564091	150.000000	1.75357e-06
155.000000	0.00775682	155.000000	0.00552392	155.000000	0.00553251	155.000000	0.00552303	155.000000	0.00552221	155.000000	1.70216e-06
160.000000	0.00759517	160.000000	0.0054122 	160.000000	0.00541969	160.000000	0.00541029	160.000000	0.00541054	160.000000	1.65382e-06
165.000000	0.00744274	165.000000	0.0053069 	165.000000	0.00531372	165.000000	0.00530397	165.000000	0.00530529	165.000000	1.60825e-06
170.000000	0.00729875	170.000000	0.00520748	170.000000	0.00521332	170.000000	0.00520353	170.000000	0.00520592	170.000000	1.56524e-06
175.000000	0.0071625 	175.000000	0.00511347	175.000000	0.005118  	175.000000	0.00510851	175.000000	0.00511194	175.000000	1.52456e-06
180.000000	0.00703339	180.000000	0.00502443	180.000000	0.00502776	180.000000	0.00501848	180.000000	0.00502294	180.000000	1.48604e-06
185.000000	0.00691084	185.000000	0.00493997	185.000000	0.00494212	185.000000	0.00493305	185.000000	0.00493852	185.000000	1.44949e-06
190.000000	0.00679438	190.000000	0.00485975	190.000000	0.00486072	190.000000	0.00485189	190.000000	0.00485834	190.000000	1.41477e-06
195.000000	0.00668355	195.000000	0.00478347	195.000000	0.00478356	195.000000	0.00477468	195.000000	0.00478209	195.000000	1.38175e-06
200.000000	0.00657795	200.000000	0.00471083	200.000000	0.00471029	200.000000	0.00470114	200.000000	0.00470948	200.000000	1.35029e-06
210.000000	0.006381  	210.000000	0.0045755 	210.000000	0.00457308	210.000000	0.0045641 	210.000000	0.00457421	210.000000	1.29167e-06
220.000000	0.006201  	220.000000	0.00445199	220.000000	0.00444766	220.000000	0.00443899	220.000000	0.00445075	220.000000	1.23812e-06
230.000000	0.00603584	230.000000	0.00433881	230.000000	0.00433267	230.000000	0.00432434	230.000000	0.00433762	230.000000	1.18901e-06
240.000000	0.00588373	240.000000	0.00423474	240.000000	0.00422746	240.000000	0.0042189 	240.000000	0.00423359	240.000000	1.14379e-06
250.000000	0.00574319	250.000000	0.00413871	250.000000	0.00413021	250.000000	0.00412163	250.000000	0.00413761	250.000000	1.10203e-06
260.000000	0.00561293	260.000000	0.00404985	260.000000	0.00403992	260.000000	0.00403163	260.000000	0.00404878	260.000000	1.06333e-06
270.000000	0.00549187	270.000000	0.00396737	270.000000	0.00395619	270.000000	0.00394813	270.000000	0.00396635	270.000000	1.02736e-06
280.000000	0.00537906	280.000000	0.00389064	280.000000	0.00387833	280.000000	0.00387046	280.000000	0.00388964	280.000000	9.93837e-07
290.000000	0.00527369	290.000000	0.00381906	290.000000	0.00380616	290.000000	0.00379806	290.000000	0.0038181 	290.000000	9.62521e-07
300.000000	0.00517506	300.000000	0.00375216	300.000000	0.00373853	300.000000	0.00373041	300.000000	0.00375123	300.000000	9.33196e-07
310.000000	0.00508253	310.000000	0.00368949	310.000000	0.00367497	310.000000	0.00366708	310.000000	0.00368858	310.000000	9.05676e-07
320.000000	0.00499556	320.000000	0.00363067	320.000000	0.00361543	320.000000	0.00360768	320.000000	0.00362979	320.000000	8.79796e-07
330.000000	0.00491368	330.000000	0.00357536	330.000000	0.00355942	330.000000	0.00355186	330.000000	0.0035745 	330.000000	8.55412e-07
340.000000	0.00483645	340.000000	0.00352327	340.000000	0.00350681	340.000000	0.00349933	340.000000	0.00352243	340.000000	8.32397e-07
350.000000	0.00476349	350.000000	0.00347412	350.000000	0.00345749	350.000000	0.00344982	350.000000	0.00347331	350.000000	8.10636e-07
360.000000	0.00469446	360.000000	0.00342769	360.000000	0.0034108 	360.000000	0.00340308	360.000000	0.0034269 	360.000000	7.90029e-07
370.000000	0.00462907	370.000000	0.00338376	370.000000	0.00336646	370.000000	0.0033589 	370.000000	0.00338299	370.000000	7.70485e-07
380.000000	0.00456703	380.000000	0.00334214	380.000000	0.00332451	380.000000	0.00331707	380.000000	0.00334139	380.000000	7.51923e-07
390.000000	0.0045081 	390.000000	0.00330266	390.000000	0.00328477	390.000000	0.00327744	390.000000	0.00330192	390.000000	7.34269e-07
400.000000	0.00445206	400.000000	0.00326516	400.000000	0.00324701	400.000000	0.00323984	400.000000	0.00326444	400.000000	7.17458e-07
410.000000	0.00439871	410.000000	0.0032295 	410.000000	0.00321122	410.000000	0.00320412	410.000000	0.0032288 	410.000000	7.01429e-07
420.000000	0.00434786	420.000000	0.00319556	420.000000	0.00317737	420.000000	0.00317015	420.000000	0.00319487	420.000000	6.86129e-07
430.000000	0.00429935	430.000000	0.00316322	430.000000	0.00314517	430.000000	0.00313783	430.000000	0.00316255	430.000000	6.71509e-07
440.000000	0.00425303	440.000000	0.00313237	440.000000	0.00311434	440.000000	0.00310703	440.000000	0.00313171	440.000000	6.57523e-07
450.000000	0.00420876	450.000000	0.00310292	450.000000	0.00308486	450.000000	0.00307767	450.000000	0.00310228	450.000000	6.44131e-07
460.000000	0.00416641	460.000000	0.00307479	460.000000	0.00305673	460.000000	0.00304964	460.000000	0.00307416	460.000000	6.31295e-07
470.000000	0.00412587	470.000000	0.00304788	470.000000	0.00302989	470.000000	0.00302287	470.000000	0.00304726	470.000000	6.1898e-07
480.000000	0.00408702	480.000000	0.00302213	480.000000	0.00300428	480.000000	0.00299735	480.000000	0.00302152	480.000000	6.07156e-07
490.000000	0.00404977	490.000000	0.00299746	490.000000	0.00297982	490.000000	0.002973  	490.000000	0.00299687	490.000000	5.95792e-07
500.000000	0.00401403	500.000000	0.00297382	500.000000	0.00295645	500.000000	0.00294967	500.000000	0.00297324	500.000000	5.84863e-07
520.000000	0.00394675	520.000000	0.00292938	520.000000	0.00291284	520.000000	0.0029059 	520.000000	0.00292881	520.000000	5.6421e-07
540.000000	0.00388456	540.000000	0.00288839	540.000000	0.00287256	540.000000	0.0028656 	540.000000	0.00288784	540.000000	5.4502e-07
560.000000	0.00382696	560.000000	0.00285048	560.000000	0.00283521	560.000000	0.00282842	560.000000	0.00284996	560.000000	5.2714e-07
580.000000	0.00377348	580.000000	0.00281536	580.000000	0.00280072	580.000000	0.00279403	580.000000	0.00281485	580.000000	5.1044e-07
600.000000	0.00372374	600.000000	0.00278275	600.000000	0.00276873	600.000000	0.00276217	600.000000	0.00278226	600.000000	4.94805e-07
620.000000	0.0036774 	620.000000	0.00275242	620.000000	0.00273908	620.000000	0.0027326 	620.000000	0.00275194	620.000000	4.80135e-07
640.000000	0.00363414	640.000000	0.00272415	640.000000	0.00271168	640.000000	0.0027051 	640.000000	0.00272368	640.000000	4.66342e-07
660.000000	0.00359372	660.000000	0.00269777	660.000000	0.00268616	660.000000	0.00267949	660.000000	0.00269732	660.000000	4.53349e-07
680.000000	0.00355588	680.000000	0.00267311	680.000000	0.00266219	680.000000	0.0026556 	680.000000	0.00267267	680.000000	4.41087e-07
700.000000	0.00352043	700.000000	0.00265003	700.000000	0.00263977	700.000000	0.00263328	700.000000	0.0026496 	700.000000	4.29496e-07
720.000000	0.00348716	720.000000	0.00262841	720.000000	0.00261883	720.000000	0.00261241	720.000000	0.00262799	720.000000	4.1852e-07
740.000000	0.00345592	740.000000	0.00260812	740.000000	0.00259921	740.000000	0.00259287	740.000000	0.00260771	740.000000	4.08113e-07
760.000000	0.00342655	760.000000	0.00258907	760.000000	0.0025808 	760.000000	0.00257455	760.000000	0.00258867	760.000000	3.9823e-07
780.000000	0.00339892	780.000000	0.00257116	780.000000	0.00256356	780.000000	0.00255736	780.000000	0.00257077	780.000000	3.88832e-07
800.000000	0.0033729 	800.000000	0.00255431	800.000000	0.00254746	800.000000	0.00254121	800.000000	0.00255393	800.000000	3.79884e-07
820.000000	0.00334838	820.000000	0.00253844	820.000000	0.00253236	820.000000	0.00252603	820.000000	0.00253807	820.000000	3.71354e-07
840.000000	0.00332526	840.000000	0.00252349	840.000000	0.00251813	840.000000	0.00251175	840.000000	0.00252313	840.000000	3.63213e-07
860.000000	0.00330346	860.000000	0.00250939	860.000000	0.00250465	860.000000	0.0024983 	860.000000	0.00250904	860.000000	3.55434e-07
