Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
140.000000	0.108525  	140.000000	0.107979  	140.000000	0.106881  	140.000000	0.106271  	140.000000	0.107941  	140.000000	3.73827e-05	
145.000000	0.105843  	145.000000	0.105418  	145.000000	0.104346  	145.000000	0.103735  	145.000000	0.105382  	145.000000	3.62029e-05	
150.000000	0.103326  	150.000000	0.10302   	150.000000	0.101972  	150.000000	0.101359  	150.000000	0.102985  	150.000000	3.50983e-05	
155.000000	0.0997809 	155.000000	0.100769  	155.000000	0.0997446 	155.000000	0.0991284 	155.000000	0.100735  	155.000000	3.40616e-05	
160.000000	0.0977037 	160.000000	0.0986534 	160.000000	0.0976488 	160.000000	0.0970309 	160.000000	0.0986204 	160.000000	3.30868e-05	
165.000000	0.0957446 	165.000000	0.0966603 	165.000000	0.095674  	165.000000	0.0950547 	165.000000	0.0966281 	165.000000	3.21685e-05	
170.000000	0.0938939 	170.000000	0.0947794 	170.000000	0.0938099 	170.000000	0.0931895 	170.000000	0.0947481 	170.000000	3.13017e-05	
175.000000	0.0921426 	175.000000	0.0930015 	175.000000	0.0920476 	175.000000	0.0914262 	175.000000	0.092971  	175.000000	3.04821e-05	
180.000000	0.0904828 	180.000000	0.0913184 	180.000000	0.0903789 	180.000000	0.0897567 	180.000000	0.0912887 	180.000000	2.97061e-05	
185.000000	0.0889074 	185.000000	0.0897226 	185.000000	0.0887963 	185.000000	0.0881737 	185.000000	0.0896937 	185.000000	2.89702e-05	
190.000000	0.0874101 	190.000000	0.0882076 	190.000000	0.0872935 	190.000000	0.0866708 	190.000000	0.0881794 	190.000000	2.82712e-05	
195.000000	0.0859852 	195.000000	0.0867674 	195.000000	0.0858657 	195.000000	0.085242  	195.000000	0.0867398 	195.000000	2.76065e-05	
200.000000	0.0846274 	200.000000	0.0853965 	200.000000	0.0845063 	200.000000	0.0838819 	200.000000	0.0853695 	200.000000	2.69735e-05	
210.000000	0.082095  	210.000000	0.0828437 	210.000000	0.0819637 	210.000000	0.0813494 	210.000000	0.0828179 	210.000000	2.5794e-05	
220.000000	0.0797804 	220.000000	0.0805152 	220.000000	0.0796517 	220.000000	0.0790396 	220.000000	0.0804904 	220.000000	2.47171e-05	
230.000000	0.0776563 	230.000000	0.0783827 	230.000000	0.0775368 	230.000000	0.0769248 	230.000000	0.078359  	230.000000	2.37297e-05	
240.000000	0.0757001 	240.000000	0.0764227 	240.000000	0.0755939 	240.000000	0.0749815 	240.000000	0.0763999 	240.000000	2.28211e-05	
250.000000	0.0738925 	250.000000	0.0746152 	250.000000	0.0737957 	250.000000	0.0731899 	250.000000	0.0745932 	250.000000	2.1982e-05	
260.000000	0.0722171 	260.000000	0.072943  	260.000000	0.0721324 	260.000000	0.0715332 	260.000000	0.0729218 	260.000000	2.12047e-05	
270.000000	0.07066   	270.000000	0.0713918 	270.000000	0.070597  	270.000000	0.0699969 	270.000000	0.0713713 	270.000000	2.04825e-05	
280.000000	0.069209  	280.000000	0.069949  	280.000000	0.0691676 	280.000000	0.0685686 	280.000000	0.0699291 	280.000000	1.98096e-05	
290.000000	0.0678536 	290.000000	0.0686036 	290.000000	0.0678288 	290.000000	0.0672376 	290.000000	0.0685845 	290.000000	1.91812e-05	
300.000000	0.0665848 	300.000000	0.0673464 	300.000000	0.0665824 	300.000000	0.0659944 	300.000000	0.0673278 	300.000000	1.85929e-05	
310.000000	0.0653945 	310.000000	0.0661691 	310.000000	0.0654175 	310.000000	0.0648309 	310.000000	0.066151  	310.000000	1.80409e-05	
320.000000	0.0642758 	320.000000	0.0650643 	320.000000	0.0643195 	320.000000	0.0637399 	320.000000	0.0650468 	320.000000	1.75219e-05	
330.000000	0.0632224 	330.000000	0.0640258 	330.000000	0.0632909 	330.000000	0.0627149 	330.000000	0.0640088 	330.000000	1.70331e-05	
340.000000	0.0622288 	340.000000	0.0630479 	340.000000	0.0623266 	340.000000	0.0617503 	340.000000	0.0630313 	340.000000	1.65718e-05	
350.000000	0.0612902 	350.000000	0.0621255 	350.000000	0.0614173 	350.000000	0.0608411 	350.000000	0.0621093 	350.000000	1.61357e-05	
360.000000	0.0604022 	360.000000	0.0612541 	360.000000	0.0605551 	360.000000	0.0599829 	360.000000	0.0612384 	360.000000	1.57228e-05	
370.000000	0.0595609 	370.000000	0.0604298 	370.000000	0.0597382 	370.000000	0.0591716 	370.000000	0.0604145 	370.000000	1.53314e-05	
380.000000	0.0587627 	380.000000	0.0596489 	380.000000	0.0589683 	380.000000	0.0584036 	380.000000	0.059634  	380.000000	1.49596e-05	
390.000000	0.0580046 	390.000000	0.0589083 	390.000000	0.0582398 	390.000000	0.0576757 	390.000000	0.0588937 	390.000000	1.46061e-05	
400.000000	0.0572837 	400.000000	0.0582049 	400.000000	0.0575453 	400.000000	0.056985  	400.000000	0.0581907 	400.000000	1.42695e-05	
410.000000	0.0565973 	410.000000	0.0575362 	410.000000	0.0568842 	410.000000	0.0563287 	410.000000	0.0575223 	410.000000	1.39487e-05	
420.000000	0.0559431 	420.000000	0.0568998 	420.000000	0.0562573 	420.000000	0.0557047 	420.000000	0.0568861 	420.000000	1.36425e-05	
430.000000	0.055319  	430.000000	0.0562934 	430.000000	0.0556616 	430.000000	0.0551105 	430.000000	0.05628   	430.000000	1.335e-05 	
440.000000	0.0547231 	440.000000	0.0557151 	440.000000	0.0550934 	440.000000	0.0545443 	440.000000	0.055702  	440.000000	1.30702e-05	
450.000000	0.0541535 	450.000000	0.055163  	450.000000	0.0545504 	450.000000	0.0540042 	450.000000	0.0551502 	450.000000	1.28023e-05	
460.000000	0.0536086 	460.000000	0.0546355 	460.000000	0.0540309 	460.000000	0.0534886 	460.000000	0.054623  	460.000000	1.25456e-05	
470.000000	0.053087  	470.000000	0.0541311 	470.000000	0.0535344 	470.000000	0.0529959 	470.000000	0.0541188 	470.000000	1.22993e-05	
480.000000	0.0525872 	480.000000	0.0536484 	480.000000	0.0530612 	480.000000	0.0525247 	480.000000	0.0536364 	480.000000	1.20629e-05	
490.000000	0.0521079 	490.000000	0.0531861 	490.000000	0.0526099 	490.000000	0.0520737 	490.000000	0.0531743 	490.000000	1.18357e-05	
500.000000	0.0516481 	500.000000	0.052743  	500.000000	0.0521773 	500.000000	0.0516418 	500.000000	0.0527313 	500.000000	1.16172e-05	
520.000000	0.0507824 	520.000000	0.05191   	520.000000	0.0513603 	520.000000	0.0508308 	520.000000	0.0518988 	520.000000	1.12045e-05	
540.000000	0.0499823 	540.000000	0.0511417 	540.000000	0.0506101 	540.000000	0.0500838 	540.000000	0.0511309 	540.000000	1.08211e-05	
560.000000	0.0492411 	560.000000	0.0504314 	560.000000	0.0499191 	560.000000	0.0493939 	560.000000	0.0504209 	560.000000	1.0464e-05	
580.000000	0.048553  	580.000000	0.0497731 	580.000000	0.0492759 	580.000000	0.0487555 	580.000000	0.049763  	580.000000	1.01305e-05	
600.000000	0.0479131 	600.000000	0.0491619 	600.000000	0.048678  	600.000000	0.0481634 	600.000000	0.0491521 	600.000000	9.81831e-06	
620.000000	0.0473168 	620.000000	0.0485933 	620.000000	0.0481239 	620.000000	0.0476131 	620.000000	0.0485837 	620.000000	9.52548e-06	
640.000000	0.0467603 	640.000000	0.0480634 	640.000000	0.0476108 	640.000000	0.0471007 	640.000000	0.0480541 	640.000000	9.25022e-06	
660.000000	0.0462401 	660.000000	0.0475688 	660.000000	0.0471314 	660.000000	0.0466228 	660.000000	0.0475598 	660.000000	8.99097e-06	
680.000000	0.0457533 	680.000000	0.0471064 	680.000000	0.0466811 	680.000000	0.0461764 	680.000000	0.0470977 	680.000000	8.74636e-06	
700.000000	0.0452971 	700.000000	0.0466736 	700.000000	0.0462604 	700.000000	0.0457588 	700.000000	0.0466651 	700.000000	8.51517e-06	
720.000000	0.0448691 	720.000000	0.046268  	720.000000	0.0458684 	720.000000	0.0453675 	720.000000	0.0462597 	720.000000	8.29631e-06	
740.000000	0.0444671 	740.000000	0.0458874 	740.000000	0.0455006 	740.000000	0.0450004 	740.000000	0.0458793 	740.000000	8.08882e-06	
760.000000	0.0440893 	760.000000	0.0455299 	760.000000	0.0451534 	760.000000	0.0446556 	760.000000	0.045522  	760.000000	7.8918e-06	
780.000000	0.0437337 	780.000000	0.0451938 	780.000000	0.0448258 	780.000000	0.0443314 	780.000000	0.0451861 	780.000000	7.70449e-06	
800.000000	0.0433989 	800.000000	0.0448775 	800.000000	0.0445171 	800.000000	0.0440261 	800.000000	0.0448699 	800.000000	7.52618e-06	
820.000000	0.0430835 	820.000000	0.0445795 	820.000000	0.0442282 	820.000000	0.0437398 	820.000000	0.0445721 	820.000000	7.35622e-06	
840.000000	0.042786  	840.000000	0.0442987 	840.000000	0.0439632 	840.000000	0.0434765 	840.000000	0.0442915 	840.000000	7.19403e-06	
860.000000	0.0425054 	860.000000	0.0440338 	860.000000	0.043714  	860.000000	0.0432279 	860.000000	0.0440267 	860.000000	7.03908e-06	
880.000000	0.0422405 	880.000000	0.0437837 	880.000000	0.0434788 	880.000000	0.0429931 	880.000000	0.0437768 	880.000000	6.89091e-06	
900.000000	0.0419904 	900.000000	0.0435476 	900.000000	0.0432559 	900.000000	0.0427711 	900.000000	0.0435409 	900.000000	6.74905e-06	
920.000000	0.0417541 	920.000000	0.0433245 	920.000000	0.0430441 	920.000000	0.042561  	920.000000	0.0433179 	920.000000	6.61313e-06	
940.000000	0.0415309 	940.000000	0.0431136 	940.000000	0.042843  	940.000000	0.0423621 	940.000000	0.0431071 	940.000000	6.48276e-06	
960.000000	0.0413199 	960.000000	0.0429142 	960.000000	0.0426522 	960.000000	0.0421737 	960.000000	0.0429079 	960.000000	6.35761e-06	
980.000000	0.0411204 	980.000000	0.0427256 	980.000000	0.0424714 	980.000000	0.0419951 	980.000000	0.0427193 	980.000000	6.23737e-06	
1000.000000	0.0409319 	1000.000000	0.0425471 	1000.000000	0.0423001 	1000.000000	0.0418256 	1000.000000	0.042541  	1000.000000	6.12174e-06	
1020.000000	0.0407536 	1020.000000	0.0423781 	1020.000000	0.0421379 	1020.000000	0.0416648 	1020.000000	0.0423721 	1020.000000	6.01048e-06	
1040.000000	0.040585  	1040.000000	0.0422182 	1040.000000	0.0419844 	1040.000000	0.0415122 	1040.000000	0.0422123 	1040.000000	5.90333e-06	
1060.000000	0.0404257 	1060.000000	0.0420669 	1060.000000	0.0418391 	1060.000000	0.0413672 	1060.000000	0.0420611 	1060.000000	5.80006e-06	
1080.000000	0.0402751 	1080.000000	0.0419235 	1080.000000	0.041701  	1080.000000	0.0412294 	1080.000000	0.0419178 	1080.000000	5.70047e-06	
1100.000000	0.0401328 	1100.000000	0.0417878 	1100.000000	0.0415697 	1100.000000	0.0410983 	1100.000000	0.0417822 	1100.000000	5.60436e-06	
1120.000000	0.0399984 	1120.000000	0.0416594 	1120.000000	0.0414444 	1120.000000	0.0409737 	1120.000000	0.0416539 	1120.000000	5.51155e-06	
1140.000000	0.0398715 	1140.000000	0.0415378 	1140.000000	0.0413248 	1140.000000	0.0408552 	1140.000000	0.0415323 	1140.000000	5.42187e-06	
1160.000000	0.0397516 	1160.000000	0.0414226 	1160.000000	0.0412106 	1160.000000	0.0407424 	1160.000000	0.0414173 	1160.000000	5.33517e-06	
