*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
240.000000	0.00274944	240.000000	0.00188461	240.000000	0.00188253	240.000000	0.0018805 	240.000000	0.00188412	240.000000	4.88672e-07	
250.000000	0.00268376	250.000000	0.00184237	250.000000	0.00183954	250.000000	0.00183757	250.000000	0.0018419 	250.000000	4.70949e-07	
260.000000	0.00262289	260.000000	0.00180327	260.000000	0.00179975	260.000000	0.00179783	260.000000	0.00180282	260.000000	4.5452e-07	
270.000000	0.00256632	270.000000	0.00176699	270.000000	0.00176282	270.000000	0.00176095	270.000000	0.00176655	270.000000	4.39246e-07	
280.000000	0.00251361	280.000000	0.00173322	280.000000	0.00172845	280.000000	0.00172663	280.000000	0.0017328 	280.000000	4.25009e-07	
290.000000	0.00246437	290.000000	0.00170173	290.000000	0.00169637	290.000000	0.00169462	290.000000	0.00170132	290.000000	4.11705e-07	
300.000000	0.00241828	300.000000	0.00167229	300.000000	0.00166654	300.000000	0.0016647 	300.000000	0.00167189	300.000000	3.99243e-07	
310.000000	0.00237504	310.000000	0.00164471	310.000000	0.00163865	310.000000	0.00163669	310.000000	0.00164432	310.000000	3.87545e-07	
320.000000	0.0023344 	320.000000	0.00161882	320.000000	0.00161232	320.000000	0.0016104 	320.000000	0.00161844	320.000000	3.76542e-07	
330.000000	0.00229614	330.000000	0.00159448	330.000000	0.00158756	330.000000	0.00158569	330.000000	0.00159411	330.000000	3.66173e-07	
340.000000	0.00226005	340.000000	0.00157155	340.000000	0.00156427	340.000000	0.00156244	340.000000	0.00157119	340.000000	3.56383e-07	
350.000000	0.00222595	350.000000	0.00154992	350.000000	0.00154231	350.000000	0.00154051	350.000000	0.00154957	350.000000	3.47126e-07	
360.000000	0.0021937 	360.000000	0.00152948	360.000000	0.00152157	360.000000	0.0015198 	360.000000	0.00152914	360.000000	3.38357e-07	
370.000000	0.00216314	370.000000	0.00151014	370.000000	0.00150196	370.000000	0.00150022	370.000000	0.00150981	370.000000	3.30039e-07	
380.000000	0.00213415	380.000000	0.00149182	380.000000	0.0014834 	380.000000	0.00148168	380.000000	0.0014915 	380.000000	3.22137e-07	
390.000000	0.00210661	390.000000	0.00147444	390.000000	0.0014658 	390.000000	0.00146411	390.000000	0.00147412	390.000000	3.14621e-07	
400.000000	0.00208042	400.000000	0.00145793	400.000000	0.0014491 	400.000000	0.00144743	400.000000	0.00145762	400.000000	3.07462e-07	
410.000000	0.00205549	410.000000	0.00144223	410.000000	0.00143323	410.000000	0.00143159	410.000000	0.00144193	410.000000	3.00636e-07	
420.000000	0.00203173	420.000000	0.00142729	420.000000	0.00141815	420.000000	0.00141652	420.000000	0.001427  	420.000000	2.94118e-07	
430.000000	0.00200907	430.000000	0.00141305	430.000000	0.00140378	430.000000	0.00140217	430.000000	0.00141276	430.000000	2.87889e-07	
440.000000	0.00198742	440.000000	0.00139947	440.000000	0.00139007	440.000000	0.0013885 	440.000000	0.00139919	440.000000	2.8193e-07	
450.000000	0.00196673	450.000000	0.00138651	450.000000	0.00137701	450.000000	0.00137547	450.000000	0.00138623	450.000000	2.76222e-07	
460.000000	0.00194694	460.000000	0.00137412	460.000000	0.00136461	460.000000	0.00136302	460.000000	0.00137385	460.000000	2.70751e-07	
470.000000	0.001928  	470.000000	0.00136227	470.000000	0.0013528 	470.000000	0.00135113	470.000000	0.00136201	470.000000	2.65501e-07	
480.000000	0.00190984	480.000000	0.00135094	480.000000	0.00134147	480.000000	0.00133976	480.000000	0.00135068	480.000000	2.6046e-07	
490.000000	0.00189244	490.000000	0.00134008	490.000000	0.00133058	490.000000	0.00132888	490.000000	0.00133982	490.000000	2.55614e-07	
500.000000	0.00187574	500.000000	0.00132967	500.000000	0.00132013	500.000000	0.00131847	500.000000	0.00132942	500.000000	2.50953e-07	
520.000000	0.0018443 	520.000000	0.0013101 	520.000000	0.00130054	520.000000	0.00129892	520.000000	0.00130986	520.000000	2.42143e-07	
