*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
480.000000	0.00841401	480.000000	0.00858383	480.000000	0.00843728	480.000000	0.00840295	480.000000	0.00858182	480.000000	2.01337e-06
490.000000	0.00833733	490.000000	0.00850986	490.000000	0.00836525	490.000000	0.00833083	490.000000	0.00850788	490.000000	1.97533e-06
500.000000	0.00826375	500.000000	0.00843895	500.000000	0.00829624	500.000000	0.00826177	500.000000	0.00843702	500.000000	1.93874e-06
520.000000	0.00812523	520.000000	0.00830568	520.000000	0.00816586	520.000000	0.00813207	520.000000	0.00830381	520.000000	1.86962e-06
540.000000	0.0079972 	540.000000	0.00818275	540.000000	0.00804618	540.000000	0.00801261	540.000000	0.00818094	540.000000	1.80543e-06
560.000000	0.00787861	560.000000	0.00806909	560.000000	0.00793588	560.000000	0.0079023 	560.000000	0.00806734	560.000000	1.74565e-06
580.000000	0.00776851	580.000000	0.00796376	580.000000	0.00783315	580.000000	0.0078002 	580.000000	0.00796207	580.000000	1.68982e-06
600.000000	0.00766612	600.000000	0.00786597	600.000000	0.00773829	600.000000	0.0077055 	600.000000	0.00786433	600.000000	1.63758e-06
620.000000	0.00757071	620.000000	0.00777499	620.000000	0.00765036	620.000000	0.00761749	620.000000	0.0077734 	620.000000	1.58858e-06
640.000000	0.00748166	640.000000	0.0076902 	640.000000	0.00756797	640.000000	0.00753555	640.000000	0.00768866	640.000000	1.54252e-06
660.000000	0.00739844	660.000000	0.00761106	660.000000	0.00749116	660.000000	0.00745912	660.000000	0.00760956	660.000000	1.49915e-06
680.000000	0.00732055	680.000000	0.00753708	680.000000	0.00741985	680.000000	0.00738773	680.000000	0.00753563	680.000000	1.45823e-06
700.000000	0.00724755	700.000000	0.00746784	700.000000	0.00735302	700.000000	0.00732094	700.000000	0.00746642	700.000000	1.41956e-06
720.000000	0.00717907	720.000000	0.00740294	720.000000	0.00729002	720.000000	0.00725836	720.000000	0.00740156	720.000000	1.38295e-06
740.000000	0.00711475	740.000000	0.00734204	740.000000	0.007231  	740.000000	0.00719965	740.000000	0.00734069	740.000000	1.34825e-06
760.000000	0.00705429	760.000000	0.00728484	760.000000	0.00717588	760.000000	0.0071445 	760.000000	0.00728353	760.000000	1.31531e-06
780.000000	0.0069974 	780.000000	0.00723106	780.000000	0.00712408	780.000000	0.00709264	780.000000	0.00722977	780.000000	1.28399e-06
800.000000	0.00694384	800.000000	0.00718044	800.000000	0.00707505	800.000000	0.00704381	800.000000	0.00717919	800.000000	1.25418e-06
820.000000	0.00689336	820.000000	0.00713277	820.000000	0.00702892	820.000000	0.00699803	820.000000	0.00713154	820.000000	1.22576e-06
840.000000	0.00684577	840.000000	0.00708783	840.000000	0.00698659	840.000000	0.00695592	840.000000	0.00708663	840.000000	1.19865e-06
860.000000	0.00680087	860.000000	0.00704545	860.000000	0.00694686	860.000000	0.00691616	860.000000	0.00704427	860.000000	1.17275e-06
880.000000	0.00675849	880.000000	0.00700544	880.000000	0.00690937	880.000000	0.0068786 	880.000000	0.00700429	880.000000	1.14799e-06
