Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
220.000000	0.0235294 	220.000000	0.0271538 	220.000000	0.0271305 	220.000000	0.0269917 	220.000000	0.0271451 	220.000000	8.71235e-06	
230.000000	0.0229027 	230.000000	0.026421  	230.000000	0.0263933 	230.000000	0.0262562 	230.000000	0.0264126 	230.000000	8.36262e-06	
240.000000	0.0223256 	240.000000	0.0257475 	240.000000	0.0257163 	240.000000	0.0255805 	240.000000	0.0257395 	240.000000	8.04085e-06	
250.000000	0.0217923 	250.000000	0.0251266 	250.000000	0.0250923 	250.000000	0.0249578 	250.000000	0.0251188 	250.000000	7.74378e-06	
260.000000	0.0212981 	260.000000	0.0245522 	260.000000	0.0245153 	260.000000	0.0243821 	260.000000	0.0245447 	260.000000	7.46863e-06	
270.000000	0.0208388 	270.000000	0.0240195 	270.000000	0.0239804 	270.000000	0.0238484 	270.000000	0.0240122 	270.000000	7.21304e-06	
280.000000	0.0204108 	280.000000	0.023524  	280.000000	0.0234832 	280.000000	0.0233523 	280.000000	0.023517  	280.000000	6.97497e-06	
290.000000	0.020011  	290.000000	0.0230621 	290.000000	0.0230199 	290.000000	0.02289   	290.000000	0.0230553 	290.000000	6.75265e-06	
300.000000	0.0196367 	300.000000	0.0226304 	300.000000	0.0225872 	300.000000	0.0224584 	300.000000	0.0226239 	300.000000	6.54456e-06	
310.000000	0.0192856 	310.000000	0.0222262 	310.000000	0.0221823 	310.000000	0.0220544 	310.000000	0.0222199 	310.000000	6.34935e-06	
320.000000	0.0189556 	320.000000	0.021847  	320.000000	0.0218026 	320.000000	0.0216756 	320.000000	0.0218409 	320.000000	6.16586e-06	
330.000000	0.0186449 	330.000000	0.0214906 	330.000000	0.0214459 	330.000000	0.0213198 	330.000000	0.0214846 	330.000000	5.99304e-06	
340.000000	0.0183519 	340.000000	0.0211549 	340.000000	0.0211102 	340.000000	0.0209849 	340.000000	0.0211491 	340.000000	5.82998e-06	
350.000000	0.0180751 	350.000000	0.0208383 	350.000000	0.0207938 	350.000000	0.0206693 	350.000000	0.0208326 	350.000000	5.67587e-06	
360.000000	0.0178131 	360.000000	0.0205393 	360.000000	0.0204952 	360.000000	0.0203714 	360.000000	0.0205338 	360.000000	5.52997e-06	
370.000000	0.017565  	370.000000	0.0202564 	370.000000	0.0202113 	370.000000	0.0200883 	370.000000	0.020251  	370.000000	5.39165e-06	
380.000000	0.0173296 	380.000000	0.0199884 	380.000000	0.0199426 	380.000000	0.0198203 	380.000000	0.0199832 	380.000000	5.26032e-06	
390.000000	0.017106  	390.000000	0.0197343 	390.000000	0.0196878 	390.000000	0.0195662 	390.000000	0.0197291 	390.000000	5.13546e-06	
400.000000	0.0168934 	400.000000	0.0194929 	400.000000	0.0194461 	400.000000	0.0193251 	400.000000	0.0194879 	400.000000	5.01659e-06	
410.000000	0.0166909 	410.000000	0.0192635 	410.000000	0.0192164 	410.000000	0.0190961 	410.000000	0.0192586 	410.000000	4.9033e-06	
