*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
24.000000	5476.24   	24.000000	5335.39   	24.000000	5459.36   	24.000000	5459.65   	24.000000	74.5211   	24.000000	41.9727   	24.000000	69.4916   	24.000000	60.1399   	24.000000	70.2129   	
25.000000	5871.73   	25.000000	5716.55   	25.000000	5848.81   	25.000000	5849.2    	25.000000	79.777    	25.000000	44.781    	25.000000	74.2518   	25.000000	64.0615   	25.000000	75.0238   	
27.000000	6697.83   	27.000000	6513.29   	27.000000	6660.9    	27.000000	6661.57   	27.000000	90.7192   	27.000000	50.5864   	27.000000	84.143    	27.000000	72.1775   	27.000000	85.0227   	
29.000000	7569.99   	29.000000	7355.42   	29.000000	7516.52   	29.000000	7517.52   	29.000000	102.227   	29.000000	56.6421   	29.000000	94.52     	29.000000	80.6496   	29.000000	95.5155   	
31.000000	8487.36   	31.000000	8242.31   	31.000000	8415.06   	31.000000	8416.43   	31.000000	114.296   	31.000000	62.9457   	31.000000	105.376   	31.000000	89.4722   	31.000000	106.496   	
33.000000	9449.14   	33.000000	9173.34   	33.000000	9357.39   	33.000000	9359.15   	33.000000	126.977   	33.000000	69.5185   	33.000000	116.73    	33.000000	98.6596   	33.000000	117.985   	
35.000000	10454.6   	35.000000	10147.9   	35.000000	10343.1   	35.000000	10345.3   	35.000000	140.265   	35.000000	76.3591   	35.000000	128.581   	35.000000	108.211   	35.000000	129.981   	
38.000000	12043     	38.000000	11690.3   	38.000000	11901.5   	38.000000	11904.3   	38.000000	161.297   	38.000000	87.1055   	38.000000	147.274   	38.000000	123.207   	38.000000	148.912   	
41.000000	13725.8   	41.000000	13327.5   	41.000000	13553.6   	41.000000	13557.5   	41.000000	183.603   	41.000000	98.403    	41.000000	167.044   	41.000000	138.989   	41.000000	168.948   	
44.000000	15500.9   	44.000000	15057.9   	44.000000	15297.9   	44.000000	15302.8   	44.000000	207.156   	44.000000	110.239   	44.000000	187.872   	44.000000	155.542   	44.000000	190.07    	
47.000000	17366.4   	47.000000	16879.8   	47.000000	17132.6   	47.000000	17138.6   	47.000000	231.919   	47.000000	122.595   	47.000000	209.733   	47.000000	172.847   	47.000000	212.257   	
50.000000	19320.5   	50.000000	18791.5   	50.000000	19056.1   	50.000000	19063.1   	50.000000	257.859   	50.000000	135.457   	50.000000	232.605   	50.000000	190.887   	50.000000	235.489   	
