*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
560.000000	0.0153078 	560.000000	0.0114019 	560.000000	0.0113691 	560.000000	0.0113147 	560.000000	0.0113998 	560.000000	2.07233e-06	
580.000000	0.0150939 	580.000000	0.0112614 	580.000000	0.0112305 	580.000000	0.0111771 	580.000000	0.0112594 	580.000000	2.00678e-06	
600.000000	0.014895  	600.000000	0.011131  	600.000000	0.0111027 	600.000000	0.0110496 	600.000000	0.011129  	600.000000	1.94541e-06	
620.000000	0.0147096 	620.000000	0.0110096 	620.000000	0.0109845 	620.000000	0.0109312 	620.000000	0.0110077 	620.000000	1.88782e-06	
640.000000	0.0145366 	640.000000	0.0108966 	640.000000	0.0108737 	640.000000	0.0108212 	640.000000	0.0108947 	640.000000	1.83367e-06	
660.000000	0.0143749 	660.000000	0.010791  	660.000000	0.0107706 	660.000000	0.0107187 	660.000000	0.0107893 	660.000000	1.78265e-06	
680.000000	0.0142235 	680.000000	0.0106924 	680.000000	0.0106751 	680.000000	0.0106231 	680.000000	0.0106907 	680.000000	1.73451e-06	
700.000000	0.0140817 	700.000000	0.0106001 	700.000000	0.0105858 	700.000000	0.0105338 	700.000000	0.0105984 	700.000000	1.689e-06 	
720.000000	0.0139487 	720.000000	0.0105136 	720.000000	0.0105016 	720.000000	0.0104503 	720.000000	0.010512  	720.000000	1.6459e-06	
740.000000	0.0138237 	740.000000	0.0104325 	740.000000	0.0104229 	740.000000	0.0103721 	740.000000	0.0104309 	740.000000	1.60503e-06	
760.000000	0.0137062 	760.000000	0.0103563 	760.000000	0.0103496 	760.000000	0.0102988 	760.000000	0.0103547 	760.000000	1.56622e-06	
780.000000	0.0135957 	780.000000	0.0102846 	780.000000	0.0102809 	780.000000	0.01023   	780.000000	0.0102831 	780.000000	1.52932e-06	
800.000000	0.0134916 	800.000000	0.0102172 	800.000000	0.010216  	800.000000	0.0101654 	800.000000	0.0102157 	800.000000	1.49417e-06	
820.000000	0.0133935 	820.000000	0.0101537 	820.000000	0.0101547 	820.000000	0.0101046 	820.000000	0.0101523 	820.000000	1.46067e-06	
840.000000	0.0133011 	840.000000	0.0100939 	840.000000	0.0100972 	840.000000	0.0100475 	840.000000	0.0100925 	840.000000	1.4287e-06	
860.000000	0.0132138 	860.000000	0.0100375 	860.000000	0.0100434 	860.000000	0.00999366	860.000000	0.0100361 	860.000000	1.39814e-06	
880.000000	0.0131315 	880.000000	0.00998433	880.000000	0.0099928 	880.000000	0.00994294	880.000000	0.00998296	880.000000	1.36892e-06	
900.000000	0.0130537 	900.000000	0.0099341 	900.000000	0.00994487	900.000000	0.00989512	900.000000	0.00993276	900.000000	1.34094e-06	
920.000000	0.0129803 	920.000000	0.00988666	920.000000	0.00989935	920.000000	0.00985   	920.000000	0.00988534	920.000000	1.31412e-06	
940.000000	0.0129109 	940.000000	0.00984183	940.000000	0.00985632	940.000000	0.0098074 	940.000000	0.00984054	940.000000	1.28839e-06	
960.000000	0.0128453 	960.000000	0.00979946	960.000000	0.00981582	960.000000	0.00976716	960.000000	0.00979819	960.000000	1.26369e-06	
980.000000	0.0127833 	980.000000	0.00975939	980.000000	0.0097778 	980.000000	0.00972913	980.000000	0.00975815	980.000000	1.23996e-06	
1000.000000	0.0127246 	1000.000000	0.0097215 	1000.000000	0.00974194	1000.000000	0.00969318	1000.000000	0.00972029	1000.000000	1.21713e-06	
1020.000000	0.0126692 	1020.000000	0.00968566	1020.000000	0.00970798	1020.000000	0.00965917	1020.000000	0.00968447	1020.000000	1.19516e-06	
1040.000000	0.0126168 	1040.000000	0.00965175	1040.000000	0.00967567	1040.000000	0.009627  	1040.000000	0.00965058	1040.000000	1.174e-06 	
1060.000000	0.0125673 	1060.000000	0.00961967	1060.000000	0.00964492	1060.000000	0.00959655	1060.000000	0.00961852	1060.000000	1.15361e-06	
1080.000000	0.0125205 	1080.000000	0.00958931	1080.000000	0.00961575	1080.000000	0.00956771	1080.000000	0.00958818	1080.000000	1.13393e-06	
1100.000000	0.0124762 	1100.000000	0.00956059	1100.000000	0.00958818	1100.000000	0.00954041	1100.000000	0.00955948	1100.000000	1.11495e-06	
1120.000000	0.0124345 	1120.000000	0.00953342	1120.000000	0.0095622 	1120.000000	0.00951455	1120.000000	0.00953232	1120.000000	1.09661e-06	
1140.000000	0.012395  	1140.000000	0.00950772	1140.000000	0.00953771	1140.000000	0.00949005	1140.000000	0.00950664	1140.000000	1.07889e-06	
1160.000000	0.0123577 	1160.000000	0.00948341	1160.000000	0.00951457	1160.000000	0.00946684	1160.000000	0.00948235	1160.000000	1.06175e-06	
1180.000000	0.0123226 	1180.000000	0.00946043	1180.000000	0.00949264	1180.000000	0.00944485	1180.000000	0.00945938	1180.000000	1.04517e-06	
1200.000000	0.0122895 	1200.000000	0.00943871	1200.000000	0.00947179	1200.000000	0.009424  	1200.000000	0.00943768	1200.000000	1.02912e-06	
1220.000000	0.0122583 	1220.000000	0.00941818	1220.000000	0.00945191	1220.000000	0.00940425	1220.000000	0.00941717	1220.000000	1.01357e-06	
1240.000000	0.0122289 	1240.000000	0.0093988 	1240.000000	0.00943299	1240.000000	0.00938554	1240.000000	0.00939781	1240.000000	9.98502e-07	
