# Fitting the markers with func = [0]/x + pol6
# TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    7              4         2         4        922.682        47.5241     -0.0389241    1.86388e-05   -3.76863e-09   -3.67657e-13    2.77643e-16   -3.22191e-20
    7              5         2         6        1003.36        56.7409     -0.0399503    1.65809e-05   -2.68278e-09   -4.00548e-13    1.94623e-16   -1.83385e-20
    7              6         3         6        1376.38         91.345     -0.0525878    2.07274e-05   -3.57358e-09   -3.97682e-13    2.33736e-16   -2.30377e-20
    7              7         3         7        1135.92        101.537     -0.0649385    3.14903e-05   -7.18858e-09   -5.02833e-13    5.11949e-16   -6.15011e-20
    7              8         3         8        1495.17        105.009     -0.0596167    2.45016e-05   -4.35425e-09   -5.65825e-13     3.2217e-16   -3.22949e-20
    7              9         3         9        1901.69         107.84     -0.0551126    1.93481e-05   -2.71051e-09   -4.20615e-13    1.73936e-16   -1.42728e-20
    7             10         4         7        1474.25        138.798     -0.0677588    2.30256e-05   -2.58453e-09   -6.90947e-13    1.74879e-16   -4.84395e-21
    7             11         4         9        1987.51        152.386     -0.0678318    2.21519e-05   -2.67789e-09   -6.13372e-13    2.02284e-16   -1.39056e-20
    7             12         4        10        1923.72        162.674     -0.0784616    3.16221e-05   -6.21074e-09    -5.2431e-13    4.21207e-16   -4.73997e-20
    7             13         5        10        1768.65        213.787     -0.0964784     3.9347e-05    -7.7741e-09   -7.68163e-13    5.76104e-16   -6.51252e-20
    7             14         5        11        2941.86        214.386     -0.0801026     2.3628e-05   -2.56586e-09   -6.57497e-13    2.11756e-16   -1.58277e-20
    7             15         5        12        2450.04        231.067      -0.116289    8.00739e-05   -4.71011e-08    1.73145e-11   -3.33593e-15    2.56032e-19
    7             16         6        12        4424.32        271.688     -0.0871654    2.57238e-05    -3.5653e-09   -6.57233e-13    3.01947e-16   -2.86567e-20
    7             17         6        13        16304.4        228.887    -0.00896788   -2.72835e-05    9.72233e-09    3.53159e-13   -6.72903e-16    8.63891e-20
    7             18         6        14        26582.2        204.336      0.0318185   -5.20049e-05    1.50804e-08    1.36142e-12   -1.30344e-15    1.61059e-19
    8              0         1         1        4126.14       -34.4738       0.176093   -0.000380354    2.55988e-07    3.12847e-10   -5.76036e-13    2.45591e-16
    8              1         1         2       -696.805        34.4034      -0.114237    0.000168194   -8.51579e-08   -3.59945e-11    5.10171e-14   -1.36703e-17
    8              2         1         3       -394.609        31.5158     -0.0759233    8.16196e-05   -2.92318e-08    -1.1722e-11    1.14556e-14   -2.31273e-18
    8              3         2         3        695.065        47.5939     -0.0510568    3.29214e-05   -9.14941e-09   -1.43908e-12    1.41611e-15   -2.24903e-19
    8              4         2         4        1118.66        50.2047     -0.0426981    2.05737e-05   -4.01442e-09   -4.91385e-13    3.12765e-16   -3.39333e-20
    8              5         2         6        1046.13        61.6164      -0.048366    2.29472e-05   -4.63369e-09   -4.48721e-13    3.28894e-16   -3.64683e-20
    8              6         3         6        1756.01        95.3373     -0.0546255    2.08527e-05   -3.42742e-09    -4.8794e-13    2.67925e-16       -2.8e-20
    8              7         3         7        1781.34        102.784     -0.0579857     2.2429e-05   -3.89479e-09   -3.98325e-13    2.53674e-16   -2.66593e-20
    8              8         3         8        1566.35        110.974     -0.0640418    2.65526e-05   -5.04149e-09   -4.96711e-13    3.50976e-16    -3.8386e-20
    8              9         3         9        2112.78        114.068     -0.0603528    2.27229e-05   -3.86498e-09   -4.07264e-13    2.45455e-16    -2.4601e-20
    8             10         4         7        2413.62        141.612     -0.0651744    2.14835e-05   -2.93398e-09   -5.32136e-13    2.30001e-16   -2.13745e-20
    8             11         4         9        1946.36        163.308     -0.0794418    3.10236e-05   -5.67626e-09   -6.74662e-13    4.36875e-16   -4.79376e-20
    8             12         4        10        2292.63        169.331     -0.0790325    3.02896e-05   -5.47372e-09   -7.92699e-13    4.96844e-16   -5.69531e-20
    8             13         5        10        2455.72        219.915     -0.0904613    3.04807e-05    -4.5784e-09   -6.08452e-13    3.03633e-16   -2.89188e-20
    8             14         5        11        3588.15        222.298     -0.0810718    2.56172e-05   -4.26112e-09    -5.0311e-13    3.38624e-16   -3.86457e-20
    8             15         5        12        3281.87        234.671     -0.0905704    3.11121e-05   -5.24168e-09   -7.11838e-13    4.23505e-16   -4.51656e-20
    8             16         5        13        3696.12        238.631     -0.0789218    1.87246e-05   -1.28797e-09   -4.28616e-13    7.85308e-17    -8.0638e-22
    8             17         6        12        4309.28        283.063     -0.0841946    1.95158e-05   -1.10419e-09   -7.64629e-13    2.10262e-16   -1.76949e-20
    8             18         6        13        6415.41        284.005     -0.0700276     6.8351e-06    2.60904e-09   -3.53507e-13   -1.67689e-16    2.98034e-20
    8             19         6        14        18295.8        248.324    -0.00855075   -3.11782e-05    1.10761e-08    6.52711e-13    -8.7353e-16    1.09316e-19
    8             20         7        15         117171        180.275      0.0265654   -6.89283e-06   -2.54405e-09    2.29186e-13    2.78567e-16   -4.85772e-20
* Fitting the markers with func = [0]/x + pol6
*TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    9              0         1         1        128.192        16.8746     -0.0533435    7.89248e-05   -4.21721e-08   -1.23427e-11    2.03021e-14   -5.41109e-18
    9              1         1         2        75.1633        20.7899     -0.0398393    3.42115e-05   -1.00921e-08   -2.42708e-12    2.02844e-15   -3.20436e-19
    9              2         1         3         346.53        20.7325     -0.0267192     1.4567e-05   -2.13543e-09   -7.21082e-13    2.35328e-16     -1.372e-20
    9              3         2         3        644.957        47.0623     -0.0384238    1.89134e-05   -3.94333e-09   -4.08821e-13    3.07011e-16   -3.53372e-20
