* Fitting the markers with func = [0]/x + pol6
*TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
   26              2         1         3       0.892659        2.84327      -0.106689    -0.00858431    0.000190198    4.01667e-05    1.44391e-06   -1.68313e-07
   26              3         2         3       0.578675        10.3362      -0.538714     0.00788979    0.000551746   -1.53737e-05   -1.28302e-06    4.71101e-08
   26              4         2         4        1.15221        11.4218      -0.511685     0.00778053    0.000174044   -3.67751e-06   -1.50466e-07    3.20281e-09
   26              5         2         6       0.573823        14.0376      -0.579544     0.00958194     0.00014222   -3.83578e-06   -1.10696e-07    2.40491e-09
   26              6         3         6       -4.71454        25.7404      -0.977924      0.0251004   -0.000287894   -1.87035e-06    7.57718e-08   -4.91643e-10
   26              7         3         7       -1.34279        25.8588      -0.781511      0.0147714   -0.000118008    -8.4588e-07    2.29732e-08   -1.21376e-10
   26              8         3         8      -0.363777        26.9841      -0.762476      0.0139837   -0.000114972   -7.24743e-07    2.17033e-08   -1.17835e-10
   26              9         3         9        4.45538        27.0207      -0.595308     0.00503688    4.34152e-05   -5.27227e-07   -8.59688e-09    9.13451e-11
   26             10         4         7       0.846981        34.7819      -0.633296     0.00443216    2.88971e-05   -2.94477e-07     -3.741e-09    3.18125e-11
   26             11         4         9      -0.604255        39.2814      -0.701653     0.00676221   -1.50144e-05   -2.21662e-07    1.21497e-09   -1.50177e-13
   26             12         4        10       0.759427        40.2413      -0.618938     0.00388099    1.51333e-05   -1.62895e-07   -1.50732e-09     1.1697e-11
   26             13         5        10        6.22961        51.5432      -0.601259      0.0023195     1.9744e-05    -9.3079e-08   -1.38706e-09    8.00892e-12
   26             14         5        11        2.43192        54.2948      -0.633654     0.00266544    1.90472e-05   -1.03973e-07   -1.38786e-09    8.35158e-12
   26             15         5        12        3.26141        56.1081      -0.638825      0.0028677    1.69756e-05   -1.15925e-07   -1.31243e-09    8.84833e-12
   26             16         5        13        4.79085        57.4551      -0.610431     0.00232646    1.72378e-05   -8.94368e-08   -1.19515e-09    7.30719e-12
   26             17         6        12       -5.16256        72.1653      -0.866875     0.00832647   -4.15766e-05   -2.13701e-07    3.71421e-09   -1.23196e-11
   26             18         6        13       -1.31978        73.1299      -0.772029      0.0060203   -2.60678e-05    -1.2794e-07    2.37119e-09   -8.46759e-12
   26             19         6        14        5.51733        73.2806      -0.603341     0.00137393      1.786e-05   -5.78646e-08   -1.10244e-09    6.32366e-12
   26             20         7        15         6.3708        87.8803      -0.458629    -0.00355347    6.55138e-05    3.68506e-08   -5.24327e-09    2.36824e-11
   27              0         1         1        2.64874       0.471699      0.0312379    0.000349522   -0.000124501   -1.46935e-05   -5.99294e-07    1.12476e-07
   27              1         1         2        1.26204        1.79709     -0.0230218     -0.0084536   -0.000112642    4.12544e-05    3.02801e-06   -2.38687e-07
   27              2         1         3        1.59766        2.27646     -0.0521865    -0.00729474    3.51696e-05    3.00585e-05    1.44894e-06   -1.20065e-07
   27              3         2         4       0.626639        11.4491      -0.531869      0.0084395    0.000197335   -4.41909e-06   -1.83635e-07    4.03833e-09
   27              4         2         6        1.84722        13.1675      -0.483677     0.00573431    0.000131743   -2.08504e-06    -8.1743e-08    1.47578e-09
   27              5         3         6        3.75539        21.9873      -0.546537     0.00472385    5.43121e-05   -5.98687e-07   -1.30737e-08    1.43146e-10
   27              6         3         7        2.45686        24.1524      -0.598127     0.00555886    5.08046e-05   -6.73016e-07   -1.20537e-08    1.38371e-10
   27              7         3         8        1.56719        25.4877      -0.592346     0.00538912    4.41327e-05   -6.31142e-07   -1.00677e-08      1.192e-10
   27              8         4         7        0.47047         34.762      -0.633488       0.004244    2.92854e-05   -2.76359e-07   -3.69467e-09     3.0804e-11
   27              9         4         9       -1.50671        38.8534      -0.717651     0.00730703   -1.94583e-05   -2.50885e-07    1.78896e-09   -2.27553e-12
   27             10         4        10       -1.83729        41.0965      -0.749717     0.00820548    -3.4221e-05   -2.08701e-07    2.74355e-09   -8.15165e-12
   27             11         5        10        -3.9476        53.8594       -0.86145     0.00966665   -5.26021e-05   -1.74628e-07    3.76881e-09   -1.33174e-11
   27             12         5        11        1.11513         53.776      -0.660477      0.0033817    1.56398e-05   -1.35905e-07    -1.2957e-09    9.45004e-12
   27             13         5        12        1.53777        55.6123      -0.640895     0.00268474    1.95199e-05    -1.0838e-07   -1.41739e-09    8.63694e-12
   27             14         6        12        5.60459        68.2987      -0.646023     0.00219063    1.78532e-05    -9.1206e-08   -1.26249e-09    8.00652e-12
   27             15         6        13        8.00966        69.2293      -0.526409    -0.00195402    6.68764e-05   -6.06312e-08   -5.22558e-09    2.60424e-11
   27             16         6        14         5.1206        73.0881      -0.660568     0.00221824    1.85458e-05   -9.63538e-08   -1.33287e-09    8.56567e-12
   27             17         7        15        3.78829        89.2383      -0.655276     0.00151345    2.08647e-05   -8.52063e-08   -1.49707e-09    9.41102e-12
   28              0         1         1        2.13401       0.591496      0.0411805   -0.000552921   -0.000320096   -2.88422e-05   -2.34545e-07    3.90358e-07
   28              1         1         2        2.16531        1.30621      0.0056851    -0.00489743   -0.000181101    1.35144e-05    1.64249e-06   -4.20965e-08
   28              2         1         3        2.00035        1.94233     -0.0312672     -0.0056835   -4.15677e-06    2.19241e-05    1.13937e-06   -9.12569e-08
   28              3         2         3       -1.78669         11.108      -0.688985     0.00894094     0.00129542   -2.23746e-05   -3.63146e-06    1.16309e-07
   28              4         2         4      0.0294846        11.2684      -0.522257     0.00789439    0.000195999   -4.11161e-06   -1.76025e-07    3.84106e-09
   28              5         2         6       0.276611        13.4696      -0.528956     0.00721892    0.000145007   -2.92243e-06   -9.75194e-08    1.98104e-09
   28              6         3         6        1.83449        22.1369      -0.589456     0.00573667    6.60527e-05   -8.73379e-07    -1.8325e-08    2.22875e-10
   28              7         3         7      -0.931017        24.7711      -0.744863      0.0140235   -0.000111694    -8.5791e-07    2.25176e-08   -1.14692e-10
   28              8         3         8         3.1684        24.3242      -0.529991     0.00401385     4.4883e-05   -4.38608e-07   -8.73109e-09    8.77211e-11
   28              9         4         7        44.0678        27.9797      -0.387624     0.00120879    2.70501e-05   -9.80452e-08   -2.91162e-09    1.92677e-11
   28             10         4         9       -2.02817         38.638      -0.763962     0.00941453   -4.99715e-05   -1.98132e-07     3.7083e-09   -1.26219e-11
   28             11         4        10       0.381665        39.7403      -0.717519       0.007929    -3.5414e-05    -1.9112e-07    2.82624e-09   -8.93872e-12
   28             12         5        10       0.123998         50.803      -0.634562      0.0028625     2.0084e-05   -1.21622e-07   -1.56154e-09    1.00414e-11
   28             13         5        11      -0.402283        52.9092      -0.639285     0.00301172    1.75094e-05   -1.22239e-07   -1.38527e-09    9.26332e-12
   28             14         5        12       0.295934        54.5733      -0.630834     0.00271205    1.98669e-05   -1.20031e-07   -1.53732e-09     1.0015e-11
   28             15         5        13       -1.25973        56.7094       -0.65467     0.00295235    2.10804e-05   -1.40404e-07   -1.73449e-09    1.18622e-11
   28             16         6        12       -2.46803        68.5539      -0.747426     0.00555517   -2.13204e-05   -1.18037e-07    2.18868e-09   -8.61379e-12
   28             17         6        13        1.66482        68.9899      -0.601389     0.00155429    1.58349e-05   -4.56338e-08    -8.5616e-10    4.05992e-12
   28             18         6        14       0.844193        72.2518      -0.722547     0.00530973   -2.37399e-05   -9.91326e-08    2.10567e-09   -7.78792e-12
   28             19         7        15        2.84232        86.6051      -0.577361    0.000679801    1.53411e-05   -1.54533e-08   -7.24849e-10    2.67262e-12
   30              0         1         1       0.523667        1.62682      -0.165091     -0.0330389     0.00133584    0.000794925     7.1515e-05   -1.63773e-05
   30              1         1         2       0.728374        2.08339      -0.159758     -0.0199266    0.000854181    0.000279939    1.59128e-05   -3.56123e-06
   30              2         1         3        1.03594        2.44947      -0.123003     -0.0170771    0.000296981    0.000151868     9.1545e-06   -1.32194e-06
   30              3         2         4       0.255037        9.51894       -0.60207      0.0152103    0.000363092   -1.41957e-05   -6.94718e-07    2.34672e-08
   30              4         2         6       0.493546        10.7845      -0.476625     0.00601195    0.000290124   -4.79145e-06   -3.36116e-07    8.32689e-09
   30              5         3         7       0.897963        19.2974      -0.587908     0.00698674    8.80522e-05   -1.52034e-06   -3.86078e-08    5.98115e-10
   30              6         4         9        0.38015        30.1609      -0.584462     0.00405513    5.83987e-05   -6.15329e-07   -1.48793e-08    1.82434e-10
   30              7         4        10       0.999109        31.2164      -0.545985     0.00255167    6.33563e-05   -3.56296e-07   -1.38109e-08    1.34944e-10
   30              8         5        11        4.75921        41.6961      -0.536296      0.0012189    5.35071e-05   -1.50343e-07   -1.01001e-08    8.61536e-11
   31              0         1         1       0.782617         1.3969      -0.102994      -0.026162    0.000429476    0.000536672    5.41078e-05   -1.03539e-05
   31              1         1         2         1.1176        1.69451     -0.0555743     -0.0153836   -0.000156588    0.000142853    1.37587e-05   -1.32866e-06
   31              2         1         3        1.21911        2.30269     -0.0752192     -0.0155109   -5.67003e-05    0.000107835    8.58828e-06    -6.4929e-07
   31              3         2         4       0.545631        9.47803      -0.552776       0.010971    0.000421183   -1.06761e-05   -6.98955e-07    2.07348e-08
   31              4         2         6       0.452061        11.2089      -0.550773     0.00946372    0.000288603   -6.72357e-06   -3.49492e-07    9.24594e-09
   31              5         3         6      -0.291408        18.9925      -0.644068     0.00872704    0.000104423    -2.1879e-06   -5.35388e-08    9.19221e-10
   31              6         3         7       0.390986        19.8042      -0.594866     0.00678853    9.14541e-05   -1.46857e-06   -3.84704e-08    5.78954e-10
   31              7         4         7       -10.0019         29.474      -0.684959     0.00455675    0.000125584   -9.70322e-07   -3.69035e-08    4.10888e-10
   31              8         4         9       0.732251        30.8426      -0.620754     0.00473809    6.10867e-05   -6.80937e-07    -1.5917e-08    1.94061e-10
   31              9         4        10        1.01923        32.2873        -0.6138     0.00422374    5.91366e-05   -5.62851e-07   -1.41087e-08    1.61056e-10
   31             10         5        11        1.56912        42.9825      -0.561116     0.00130168    5.41915e-05   -9.99898e-08   -8.91752e-09    5.99086e-11
   32              0         1         1       0.841825        1.28206     -0.0544337     -0.0211014   -0.000695614    0.000219924    3.37045e-05   -1.70782e-06
   32              1         1         2        0.62527        2.35126      -0.207069      -0.020662     0.00135043    0.000344758    1.82838e-05   -4.31696e-06
   32              2         1         3       0.147194        3.75085      -0.581935      0.0250044     0.00383543   -0.000188302   -4.24917e-05    3.12541e-06
   32              3         2         4       0.246065        9.86496      -0.616925      0.0154067    0.000362054   -1.38487e-05   -6.61991e-07    2.16064e-08
