*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
110.000000	99210.2   	110.000000	98375.1   	110.000000	100127    	110.000000	100181    	110.000000	1756.07   	110.000000	839.787   	110.000000	611.538   	110.000000	482.591   	110.000000	597.359
115.000000	107232    	115.000000	106372    	115.000000	108252    	115.000000	108312    	115.000000	1895.24   	115.000000	903.644   	115.000000	659.978   	115.000000	519.786   	115.000000	645.466
120.000000	115508    	120.000000	114620    	120.000000	116634    	120.000000	116700    	120.000000	2038.3    	120.000000	969.165   	120.000000	709.795   	120.000000	558.004   	120.000000	695.042
125.000000	124033    	125.000000	123116    	125.000000	125268    	125.000000	125340    	125.000000	2185.11   	125.000000	1036.31   	125.000000	760.954   	125.000000	597.22    	125.000000	746.058
130.000000	132803    	130.000000	131854    	130.000000	134148    	130.000000	134226    	130.000000	2335.56   	130.000000	1105.09   	130.000000	813.414   	130.000000	637.407   	130.000000	798.479
135.000000	141814    	135.000000	140830    	135.000000	143270    	135.000000	143355    	135.000000	2489.55   	135.000000	1175.45   	135.000000	867.144   	135.000000	678.546   	135.000000	852.28
140.000000	151063    	140.000000	150039    	140.000000	152630    	140.000000	152721    	140.000000	2646.95   	140.000000	1247.32   	140.000000	922.102   	140.000000	720.609   	140.000000	907.424
145.000000	160545    	145.000000	159476    	145.000000	162223    	145.000000	162321    	145.000000	2807.63   	145.000000	1320.65   	145.000000	978.252   	145.000000	763.57    	145.000000	963.881
150.000000	170257    	150.000000	169138    	150.000000	172044    	150.000000	172151    	150.000000	2971.5    	150.000000	1395.42   	150.000000	1035.56   	150.000000	807.411   	150.000000	1021.62
155.000000	180333    	155.000000	179020    	155.000000	182091    	155.000000	182205    	155.000000	3138.5    	155.000000	1471.61   	155.000000	1094.01   	155.000000	852.113   	155.000000	1080.63
160.000000	190627    	160.000000	189118    	160.000000	192358    	160.000000	192481    	160.000000	3308.52   	160.000000	1549.19   	160.000000	1153.56   	160.000000	897.656   	160.000000	1140.87
165.000000	201131    	165.000000	199429    	165.000000	202843    	165.000000	202975    	165.000000	3481.47   	165.000000	1628.12   	165.000000	1214.18   	165.000000	944.019   	165.000000	1202.33
170.000000	211841    	170.000000	209948    	170.000000	213542    	170.000000	213682    	170.000000	3657.25   	170.000000	1708.37   	170.000000	1275.84   	170.000000	991.186   	170.000000	1264.97
175.000000	222754    	175.000000	220672    	175.000000	224450    	175.000000	224599    	175.000000	3835.8    	175.000000	1789.86   	175.000000	1338.52   	175.000000	1039.13   	175.000000	1328.77
180.000000	233866    	180.000000	231598    	180.000000	235564    	180.000000	235722    	180.000000	4017.01   	180.000000	1872.59   	180.000000	1402.19   	180.000000	1087.85   	180.000000	1393.71
185.000000	245174    	185.000000	242721    	185.000000	246882    	185.000000	247048    	185.000000	4200.8    	185.000000	1956.58   	185.000000	1466.82   	185.000000	1137.31   	185.000000	1459.76
190.000000	256675    	190.000000	254039    	190.000000	258398    	190.000000	258574    	190.000000	4387.1    	190.000000	2041.74   	190.000000	1532.38   	190.000000	1187.51   	190.000000	1526.9
195.000000	268365    	195.000000	265547    	195.000000	270111    	195.000000	270296    	195.000000	4575.83   	195.000000	2128.04   	195.000000	1598.86   	195.000000	1238.41   	195.000000	1595.11
200.000000	280242    	200.000000	277244    	200.000000	282017    	200.000000	282211    	200.000000	4766.92   	200.000000	2215.52   	200.000000	1666.22   	200.000000	1290.02   	200.000000	1664.37
210.000000	304543    	210.000000	301188    	210.000000	306393    	210.000000	306608    	210.000000	5155.81   	210.000000	2393.82   	210.000000	1803.49   	210.000000	1395.26   	210.000000	1805.94
220.000000	329555    	220.000000	325847    	220.000000	331501    	220.000000	331738    	220.000000	5553.15   	220.000000	2576.27   	220.000000	1944      	220.000000	1503.09   	220.000000	1951.42
230.000000	355255    	230.000000	351197    	230.000000	357320    	230.000000	357581    	230.000000	5958.55   	230.000000	2762.78   	230.000000	2087.59   	230.000000	1613.42   	230.000000	2100.69
240.000000	381623    	240.000000	377217    	240.000000	383826    	240.000000	384112    	240.000000	6371.49   	240.000000	2953.18   	240.000000	2234.11   	240.000000	1726.13   	240.000000	2253.58
250.000000	408640    	250.000000	403886    	250.000000	411000    	250.000000	411310    	250.000000	6791.5    	250.000000	3147.33   	250.000000	2383.38   	250.000000	1841.12   	250.000000	2409.96
260.000000	436285    	260.000000	431182    	260.000000	438820    	260.000000	439155    	260.000000	7218.13   	260.000000	3345.1    	260.000000	2535.27   	260.000000	1958.29   	260.000000	2569.68
270.000000	464542    	270.000000	459088    	270.000000	467267    	270.000000	467627    	270.000000	7650.97   	270.000000	3546.34   	270.000000	2689.63   	270.000000	2077.54   	270.000000	2732.63
280.000000	493392    	280.000000	487585    	280.000000	496321    	280.000000	496707    	280.000000	8089.6    	280.000000	3750.95   	280.000000	2846.32   	280.000000	2198.79   	280.000000	2898.65
290.000000	522820    	290.000000	516654    	290.000000	525965    	290.000000	526377    	290.000000	8533.68   	290.000000	3958.71   	290.000000	3005.23   	290.000000	2321.95   	290.000000	3067.65
300.000000	552808    	300.000000	546280    	300.000000	556180    	300.000000	556619    	300.000000	8982.79   	300.000000	4169.4    	300.000000	3166.21   	300.000000	2446.93   	300.000000	3239.49
310.000000	583342    	310.000000	576446    	310.000000	586948    	310.000000	587416    	310.000000	9436.52   	310.000000	4383.06   	310.000000	3329.14   	310.000000	2573.65   	310.000000	3414.05
320.000000	614408    	320.000000	607136    	320.000000	618253    	320.000000	618753    	320.000000	9894.61   	320.000000	4599.52   	320.000000	3493.92   	320.000000	2702.02   	320.000000	3591.23
330.000000	645990    	330.000000	638335    	330.000000	650082    	330.000000	650614    	330.000000	10356.8   	330.000000	4818.58   	330.000000	3660.45   	330.000000	2832      	330.000000	3770.93
340.000000	678076    	340.000000	670029    	340.000000	682418    	340.000000	682983    	340.000000	10822.8   	340.000000	5040.19   	340.000000	3828.64   	340.000000	2963.5    	340.000000	3953.06
350.000000	710651    	350.000000	702204    	350.000000	715249    	350.000000	715846    	350.000000	11292.4   	350.000000	5264.39   	350.000000	3998.37   	350.000000	3096.47   	350.000000	4137.52
360.000000	743704    	360.000000	734847    	360.000000	748559    	360.000000	749189    	360.000000	11765.3   	360.000000	5491.15   	360.000000	4169.57   	360.000000	3230.83   	360.000000	4324.21
370.000000	777223    	370.000000	767944    	370.000000	782336    	370.000000	782999    	370.000000	12241.2   	370.000000	5720.25   	370.000000	4342.15   	370.000000	3366.53   	370.000000	4513.05
380.000000	811195    	380.000000	801484    	380.000000	816565    	380.000000	817262    	380.000000	12719.9   	380.000000	5951.55   	380.000000	4516.02   	380.000000	3503.5    	380.000000	4703.95
390.000000	845609    	390.000000	835454    	390.000000	851236    	390.000000	851967    	390.000000	13201.1   	390.000000	6185.01   	390.000000	4691.11   	390.000000	3641.7    	390.000000	4896.83
400.000000	880453    	400.000000	869842    	400.000000	886335    	400.000000	887100    	400.000000	13684.8   	400.000000	6420.59   	400.000000	4867.33   	400.000000	3781.07   	400.000000	5091.61
410.000000	915719    	410.000000	904639    	410.000000	921851    	410.000000	922650    	410.000000	14170.6   	410.000000	6658.21   	410.000000	5044.62   	410.000000	3921.54   	410.000000	5288.22
420.000000	951394    	420.000000	939831    	420.000000	957772    	420.000000	958607    	420.000000	14658.4   	420.000000	6897.71   	420.000000	5222.91   	420.000000	4063.09   	420.000000	5486.57
430.000000	987469    	430.000000	975410    	430.000000	994087    	430.000000	994958    	430.000000	15147.9   	430.000000	7138.96   	430.000000	5402.13   	430.000000	4205.65   	430.000000	5686.61
