*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
31.000000	1873.5    	31.000000	1816      	31.000000	1846.85   	31.000000	1843.43   	31.000000	10.6015   	31.000000	5.85287   	31.000000	9.08534   	31.000000	8.39917   	31.000000	9.30424
33.000000	2083.81   	33.000000	2019.59   	33.000000	2051.42   	33.000000	2047.71   	33.000000	11.7721   	33.000000	6.46118   	33.000000	10.0464   	33.000000	9.24246   	33.000000	10.2934
35.000000	2303.66   	35.000000	2232.69   	35.000000	2265.46   	35.000000	2261.53   	35.000000	13        	35.000000	7.09532   	35.000000	11.0507   	35.000000	10.1203   	35.000000	11.3276
38.000000	2651      	38.000000	2569.93   	38.000000	2603.93   	38.000000	2599.82   	38.000000	14.9456   	38.000000	8.09245   	38.000000	12.6366   	38.000000	11.5004   	38.000000	12.9623
41.000000	3018.96   	41.000000	2927.92   	41.000000	2962.93   	41.000000	2958.79   	41.000000	17.0122   	41.000000	9.14221   	41.000000	14.3164   	41.000000	12.9553   	41.000000	14.6954
44.000000	3407.1    	44.000000	3306.27   	44.000000	3342.06   	44.000000	3338.01   	44.000000	19.196    	44.000000	10.2431   	44.000000	16.088    	44.000000	14.4831   	44.000000	16.5252
47.000000	3815      	47.000000	3704.61   	47.000000	3740.96   	47.000000	3737.09   	47.000000	21.4938   	47.000000	11.3941   	47.000000	17.9493   	47.000000	16.0822   	47.000000	18.4497
50.000000	4242.27   	50.000000	4122.6    	50.000000	4159.19   	50.000000	4155.64   	50.000000	23.9012   	50.000000	12.5924   	50.000000	19.898    	50.000000	17.7503   	50.000000	20.4667
55.000000	4996.42   	55.000000	4861.99   	55.000000	4898.28   	55.000000	4895.59   	55.000000	28.1499   	55.000000	14.6911   	55.000000	23.3342   	55.000000	20.6795   	55.000000	24.0288
60.000000	5801.77   	60.000000	5653.51   	60.000000	5688.77   	60.000000	5687.17   	60.000000	32.6854   	60.000000	16.9136   	60.000000	26.9994   	60.000000	23.7894   	60.000000	27.8354
65.000000	6656.85   	65.000000	6495.77   	65.000000	6529.12   	65.000000	6529      	65.000000	37.4938   	65.000000	19.2517   	65.000000	30.8841   	65.000000	27.0726   	65.000000	31.8779
70.000000	7560.33   	70.000000	7387.43   	70.000000	7418.13   	70.000000	7419.78   	70.000000	42.5664   	70.000000	21.7033   	70.000000	34.9813   	70.000000	30.5231   	70.000000	36.1497
