* Fitting the markers with func = [0]/x + pol6
* TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    8              7         3         7        1781.34        102.784     -0.0579857     2.2429e-05   -3.89479e-09   -3.98325e-13    2.53674e-16   -2.66593e-20
    8              8         3         8        1566.35        110.974     -0.0640418    2.65526e-05   -5.04149e-09   -4.96711e-13    3.50976e-16    -3.8386e-20
    8              9         3         9        2112.78        114.068     -0.0603528    2.27229e-05   -3.86498e-09   -4.07264e-13    2.45455e-16    -2.4601e-20
    8             10         4         7        2413.62        141.612     -0.0651744    2.14835e-05   -2.93398e-09   -5.32136e-13    2.30001e-16   -2.13745e-20
    8             11         4         9        1946.36        163.308     -0.0794418    3.10236e-05   -5.67626e-09   -6.74662e-13    4.36875e-16   -4.79376e-20
    8             12         4        10        2292.63        169.331     -0.0790325    3.02896e-05   -5.47372e-09   -7.92699e-13    4.96844e-16   -5.69531e-20
    8             13         5        10        2455.72        219.915     -0.0904613    3.04807e-05    -4.5784e-09   -6.08452e-13    3.03633e-16   -2.89188e-20
    8             14         5        11        3588.15        222.298     -0.0810718    2.56172e-05   -4.26112e-09    -5.0311e-13    3.38624e-16   -3.86457e-20
    8             15         5        12        3281.87        234.671     -0.0905704    3.11121e-05   -5.24168e-09   -7.11838e-13    4.23505e-16   -4.51656e-20
    8             16         5        13        3696.12        238.631     -0.0789218    1.87246e-05   -1.28797e-09   -4.28616e-13    7.85308e-17    -8.0638e-22
    8             17         6        12        4309.28        283.063     -0.0841946    1.95158e-05   -1.10419e-09   -7.64629e-13    2.10262e-16   -1.76949e-20
    8             18         6        13        1548.92        308.589      -0.110847      3.507e-05   -4.84535e-09   -7.75951e-13    3.50626e-16    -3.3059e-20
    8             19         6        14         3568.3        302.011     -0.0773837    7.64119e-06    3.07252e-09   -4.07867e-13   -1.95082e-16    3.46942e-20
 *  8             20         7        15         117171        180.275      0.0265654   -6.89283e-06   -2.54405e-09    2.29186e-13    2.78567e-16   -4.85772e-20
    9              0         1         1        64.0045        17.0026     -0.0518081     7.1764e-05   -3.72294e-08   -5.15609e-12     1.0893e-14   -2.60907e-18
    9              1         1         2        164.742         19.752     -0.0368095     3.0873e-05   -9.70475e-09   -8.55722e-13     1.0845e-15    -1.6093e-19
    9              2         1         3        251.493        21.8139     -0.0305309     1.9373e-05   -4.56402e-09   -4.39733e-13    3.61778e-16   -4.24925e-20
    9              3         2         3        644.957        47.0623     -0.0384238    1.89134e-05   -3.94333e-09   -4.08821e-13    3.07011e-16   -3.53372e-20
    9              4         2         4        499.808          54.34     -0.0429294    2.06651e-05   -4.21352e-09   -3.24868e-13    2.60333e-16   -2.81927e-20
    9              5         2         6        554.765        64.8459     -0.0449511    2.00266e-05   -3.88223e-09   -3.44459e-13    2.50664e-16   -2.67464e-20
    9              6         3         6        910.765        102.046     -0.0520151    1.82731e-05    -2.6478e-09   -4.62972e-13    2.14587e-16   -2.09151e-20
    9              7         3         7        1680.07        103.008     -0.0408851    7.24686e-06    1.06622e-09   -3.02414e-13   -8.87203e-17    1.98014e-20
    9              8         3         8        938.006        116.864     -0.0617911    2.59036e-05   -5.11434e-09   -4.68884e-13    3.53498e-16   -3.88637e-20
    9              9         3         9        1453.58        119.467     -0.0556904    1.89175e-05   -2.44462e-09   -5.42881e-13    2.01667e-16   -1.65647e-20
    9             10         4         7        671.704        155.999     -0.0762881    3.17804e-05   -6.49056e-09   -5.01611e-13    4.36499e-16   -4.97249e-20
    9             11         4         9        886.498        173.751     -0.0824909    3.61972e-05   -8.05089e-09   -4.70573e-13    5.11832e-16   -5.94332e-20
    9             12         4        10        817.438         182.58     -0.0873285    3.88236e-05   -8.63099e-09   -4.81228e-13    5.30178e-16   -6.07981e-20
    9             13         5        10        429.834        232.162     -0.0844953    2.71358e-05   -4.05693e-09   -5.82686e-13    2.91904e-16   -2.80829e-20
    9             14         5        11        1967.68        235.134     -0.0773767    2.15105e-05   -2.63842e-09   -5.01058e-13     2.2341e-16   -2.21679e-20
   10              0         1         1        100.475        16.0149     -0.0556547    8.88828e-05   -5.37207e-08   -7.19643e-12    1.96184e-14   -5.41658e-18
   10              1         1         2        59.1265        20.4218     -0.0446014    4.34691e-05   -1.46268e-08    -3.6852e-12    3.53103e-15   -6.20126e-19
   10              2         1         3         261.73        21.0604     -0.0331307    2.30466e-05   -5.22237e-09   -1.33815e-12     8.0295e-16   -9.92599e-20
   10              3         2         3        386.441        47.6435     -0.0439504    2.36375e-05    -5.4223e-09   -4.75953e-13    4.37748e-16   -5.47275e-20
   10              4         2         4        516.889        52.4961     -0.0425855    2.03055e-05   -4.08911e-09    -3.0976e-13    2.46002e-16   -2.63002e-20
   10              5         2         6        492.718        64.1453     -0.0489975    2.37708e-05   -5.09038e-09    -3.7359e-13    3.37436e-16   -3.88676e-20
   10              6         3         6        684.055        101.375     -0.0578162     2.2446e-05   -3.64445e-09   -4.61739e-13    2.29208e-16   -2.00594e-20
   10              7         3         7        636.864        110.508      -0.067373    3.14504e-05   -7.00712e-09   -5.27057e-13    5.13742e-16   -6.21327e-20
   10              8         3         8        1151.72        113.171     -0.0603746    2.38192e-05   -4.27709e-09     -4.836e-13    3.05236e-16   -3.20713e-20
   10              9         3         9        534.853        125.392      -0.079018    4.04003e-05   -9.85055e-09   -5.63598e-13    6.90504e-16   -8.52552e-20
