*EntryIndex         SSDNum     CHNum   ECh_Cut       ECh
33100              3         9   119.005       179
33100              3        10   114.462       171
33100              3        11    94.393       147
33100              3        12   100.569       151
33100              3        13   121.802       168
33100              3        14   113.862       159
33100              3        15    124.42       166
33100              3        16   109.747       127
33100              4        13    133.21       691
33200              1         8   79.2956       625
33200              4         5   135.466      1492
33300              2        12   100.955       807
33300              2        13   117.267       220
33300              3         5   129.761       951
33300              3         8   85.0236       570
33600              4         9   143.887       300
33600              4        14    137.63       395
33600              4        15   125.328      1263
33700              1         3   115.501       419
33700              1         6    80.145       552
33800              1         2   80.2209       360
33800              1        10   115.012       545
33900              1         3   115.501       555
33900              3        15    124.42       136
33900              4        13    133.21       533
34000              3         4   119.489       220
34000              4         8   170.329       759
34100              2         6   81.6839       120
34200              2        12   100.955       784
34400              1         1    132.18       393
34500              2         7   78.1233      1264
34500              4         9   143.887       416
34600              2         9   74.8055      1640
34700              1         7   115.958       138
34700              1         9   117.688       372
34700              1        10   115.012      1315
34700              1        12   116.017       444
34800              1         4   80.3077      3343
34800              3        12   100.569       169
34900              2        11   110.194       849
34900              3         7   103.528       350
34900              4         6   137.113       419
35000              1         2   80.2209       328
35000              3         9   119.005       220
35100              1        15    155.39       938
35100              4         4   103.428       177
35200              4        11   142.904       887
35300              1         5   95.8393       620
35300              4        10   147.035       709
35300              4        11   142.904       518
35400              1        10   115.012       152
35400              2         7   78.1233       546
35400              4         1   132.578       208
35500              4        10   147.035       432
35700              2        13   117.267      1102
35800              4         7   126.957       543
35900              4         9   143.887       789
36000              1        13   91.8378       143
36000              4         1   132.578       626
36000              4         4   103.428       143
36100              1         1    132.18       912
36100              1         3   115.501       791
36100              4         2   118.513       937
36100              4         3   149.066       749
36200              1         5   95.8393       360
36200              1         7   115.958      2930
36300              1         2   80.2209       563
36300              1         8   79.2956       201
36300              4        14    137.63       309
36500              1        12   116.017       180
36800              1         2   80.2209       372
36800              1         7   115.958       146
36800              2         4   96.9622       134
36800              2        14   93.2145       480
36900              1         9   117.688      1678
36900              3         1   114.034       122
36900              3         4   119.489       471
36900              3        16   109.747       117
36900              4         9   143.887       271
37000              1        11   118.457       626
37000              2         5    79.497      1096
37100              4         1   132.578       279
37100              4         2   118.513       275
37100              4         3   149.066       300
37100              4         4   103.428       258
37100              4         5   135.466       286
37100              4         6   137.113       281
37100              4         7   126.957       259
37100              4         8   170.329       279
37100              4         9   143.887       191
37100              4        10   147.035       427
37100              4        12   130.483       361
37100              4        13    133.21       185
37100              4        14    137.63       244
37100              4        15   125.328       249
37100              4        16   128.906       266
37200              1        15    155.39       632
37200              2         5    79.497      3243
37300              1        13   91.8378       372
37300              1        15    155.39       185
37500              2         5    79.497       214
37500              2         6   81.6839       462
37500              3        12   100.569       134
37500              3        16   109.747      1132
37600              1        13   91.8378       655
37600              2         1   141.968       776
37600              2         6   81.6839       315
37600              3         4   119.489       992
37700              1         7   115.958       124
37700              1        14   110.452       602
37700              3         7   103.528       166
37800              4         4   103.428       659
38000              1        13   91.8378       230
38000              2         4   96.9622       986
38100              1        10   115.012       324
38100              1        14   110.452       129
38100              3         3   120.387       807
38100              3         4   119.489       158
38100              4        14    137.63      1071
38100              4        16   128.906       564
38200              4        13    133.21       207
38300              1         7   115.958       137
38300              4         5   135.466       560
38300              4        12   130.483       236
38400              4         5   135.466       210
38400              4        12   130.483       411
38500              2         5    79.497       473
38500              2        10   104.049       729
38500              2        11   110.194       161
38500              4         6   137.113      2528
38600              1        12   116.017       901
38700              3         1   114.034       755
38700              3         3   120.387       813
38700              3         4   119.489       140
38700              3         5   129.761       149
38700              3         6    71.929       104
38700              3         7   103.528       145
