* ssdnum    stripb    stripf    th_standard (mm)   th_effective (mm)
    2         3         3          0.526            0.528902
    2         3         4          0.526             0.52833
    2         3         5          0.526            0.527901
    2         3         6          0.526            0.527614
    2         3         7          0.526            0.527471
    2         3         8          0.526            0.527471
    2         3         9          0.526            0.527614
    2         3        10          0.526            0.527901
    2         3        11          0.526             0.52833
    2         3        12          0.526            0.528902
    2         3        13          0.526            0.529616
    2         3        14          0.526            0.530472
    2         3        15          0.526            0.531468
    2         4         0          0.526            0.530899
    2         4         1          0.526            0.529902
    2         4         2          0.526            0.529045
    2         4         3          0.526             0.52833
    2         4         4          0.526            0.527757
    2         4         5          0.526            0.527328
    2         4         6          0.526            0.527041
    2         4         7          0.526            0.526897
    2         4         8          0.526            0.526897
    2         4         9          0.526            0.527041
    2         4        10          0.526            0.527328
    2         4        11          0.526            0.527757
    2         4        12          0.526             0.52833
    2         4        13          0.526            0.529045
    2         4        14          0.526            0.529902
    2         4        15          0.526            0.530899
    2         5         0          0.526            0.530472
    2         5         1          0.526            0.529473
    2         5         2          0.526            0.528616
    2         5         3          0.526            0.527901
    2         5         4          0.526            0.527328
    2         5         5          0.526            0.526897
    2         5         6          0.526             0.52661
    2         5         7          0.526            0.526467
    2         5         8          0.526            0.526467
    2         5         9          0.526             0.52661
    2         5        10          0.526            0.526897
    2         5        11          0.526            0.527328
    2         5        12          0.526            0.527901
    2         5        13          0.526            0.528616
    2         5        14          0.526            0.529473
    2         5        15          0.526            0.530472
    2         6         0          0.526            0.530187
    2         6         1          0.526            0.529188
    2         6         2          0.526             0.52833
    2         6         3          0.526            0.527614
    2         6         4          0.526            0.527041
    2         6         5          0.526             0.52661
    2         6         6          0.526            0.526323
    2         6         7          0.526             0.52618
    2         6         8          0.526             0.52618
    2         6         9          0.526            0.526323
    2         6        10          0.526             0.52661
    2         6        11          0.526            0.527041
    2         6        12          0.526            0.527614
    2         6        13          0.526             0.52833
    2         6        14          0.526            0.529188
    2         6        15          0.526            0.530187
    2         7         0          0.526            0.530044
    2         7         1          0.526            0.529045
    2         7         2          0.526            0.528187
    2         7         3          0.526            0.527471
    2         7         4          0.526            0.526897
    2         7         5          0.526            0.526467
    2         7         6          0.526             0.52618
    2         7         7          0.526            0.526036
    2         7         8          0.526            0.526036
    2         7         9          0.526             0.52618
    2         7        10          0.526            0.526467
    2         7        11          0.526            0.526897
    2         7        12          0.526            0.527471
    2         7        13          0.526            0.528187
    2         7        14          0.526            0.529045
    2         7        15          0.526            0.530044
    2         8         0          0.526            0.530044
    2         8         1          0.526            0.529045
    2         8         2          0.526            0.528187
    2         8         3          0.526            0.527471
    2         8         4          0.526            0.526897
    2         8         5          0.526            0.526467
    2         8         6          0.526             0.52618
    2         8         7          0.526            0.526036
    2         8         8          0.526            0.526036
