* set the ECsI cut range for all the isotopes by hand
* numtel = ssdindex * 9 + csiindex
* numtel        Z           A      ECsI_Ch_Min    ECsI_Ch_Max
    26          5          11         340           4000
    26          5          12         340           4000
    26          6          12         1100          4000
    26          6          13         1100          4000
    26          6          14         1100          4000
    27          1           1         150           1500
    27          1           2         150           2000
    27          1           3         150           2500
    27          2           3         150           2700
    27          2           4         150           3500
    27          2           6         150           4000
    27          3           6         150           4000
    27          3           7         150           4000
    27          3           8         150           4000
    27          3           9         150           4000
    27          4           7         150           3500
    27          4           9         150           3500
    27          4          10         150           3500
    27          5          10         600           3000
    27          5          11         600           3000
    27          5          12         600           3000
    28          1           1         140           1700
    28          1           2         140           2000
    28          1           3         140           2300
    28          2           3         140           2800
    28          2           4         140           3300
    28          2           6         140           4000
    28          3           6         140           4000
    28          3           7         140           4000
    28          3           8         140           4000
    28          3           9         140           4000
    28          4           7         140           3500
    28          4           9         140           3500
    28          4          10         140           3500
    28          5          10         730           3000
    28          5          11         730           3000
    28          5          12         730           3000
    29          1           1         150           1200
    29          1           2         150           1800
    29          1           3         150           1800
    29          2           3         150           2300
    29          2           4         150           3000
    29          2           6         150           3000
    29          3           6         150           2800
    29          3           7         150           2800
    29          3           8         150           2800
    29          3           9         150           2800
    29          4           7         150           2500
    29          4           9         150           2500
    29          4          10         150           2500
    29          5          10         600           2500
    29          5          11         600           2500
    29          5          12         600           2500
    30          1           1         110           1600
    30          1           2         110           2000
    30          1           3         110           2400
    30          2           3         110           2800
    30          2           4         110           3500
    30          2           6         110           4000
    30          3           6         110           4000
    30          3           7         110           4000
    30          3           8         110           4000
    30          3           9         110           4000
    30          4           7         110           3500
    30          4           9         110           3500
    30          4          10         110           3500
    30          5          10         650           3000
    30          5          11         650           3000
    30          5          12         650           3000
    31          1           1         150           1500
    31          1           2         150           2000
    31          1           3         150           2500
    31          2           3         150           2700
    31          2           4         150           3500
    31          2           6         150           4000
    31          3           6         150           4000
    31          3           7         150           4000
    31          3           8         150           4000
    31          3           9         150           4000
    31          4           7         150           3500
    31          4           9         150           3500
    31          4          10         150           3500
    31          5          10         600           3000
    31          5          11         600           3000
    31          5          12         600           3000
    32          1           1         150           1500
    32          1           2         150           2000
    32          1           3         150           2500
    32          2           3         150           2700
    32          2           4         150           3500
    32          2           6         150           4000
    32          3           6         150           4000
    32          3           7         150           4000
    32          3           8         150           4000
    32          3           9         150           4000
    32          4           7         150           3500
    32          4           9         150           3500
    32          4          10         150           3500
    32          5          10         600           3000
