* numtel = ssdindex * 9 + csiindex
* numtel      Z         A         ECsI_MeV        ECsI_Ch
    0         6        14        84.1191           1240
    0         6        14        92.7405           1360
    0         6        14        101.033           1480
    0         6        14        109.045           1600
    0         6        14        116.816           1720
    0         6        14        124.375           1840
    0         6        14        131.752           1960
    0         6        14        138.938           2080
    0         6        14        145.955           2200
    0         6        14        152.853           2320
    0         6        14        159.638           2440
    0         6        14        166.319           2560
    0         6        14        172.901           2680
    0         6        14        179.394           2800
    0         6        14        185.811           2920
    0         6        14        192.156           3040
    0         6        14        198.438           3160
    0         6        14         204.66           3280
    0         6        14         210.83           3400
    0         6        14        216.947           3520
    0         6        14         223.02           3640
    0         6        14        229.052           3760
    0         6        14        235.038           3880
    1         1         1        6.80188            200
    1         1         1        8.09533            226
    1         1         1        9.38549            252
    1         1         1        10.6591            278
    1         1         1        11.9205            304
    1         1         1        13.1712            330
    1         1         1        14.4116            356
    1         1         1        15.6412            382
    1         1         1        16.8597            408
    1         1         1        18.0671            434
    1         1         1         19.263            460
    1         1         1        20.4474            486
    1         1         1        21.6201            512
    1         1         1        22.7812            538
    1         1         1        23.9304            564
    1         1         1        25.0679            590
    1         1         1        26.1936            616
    1         1         1        27.3076            642
    1         1         1        28.4098            668
    1         1         1        29.5005            694
    1         1         1        30.5795            720
    1         1         1        31.6471            746
    1         1         1        32.7032            772
    1         1         1         33.748            798
    1         1         1        34.7817            824
    1         1         1        35.8044            850
    1         1         1        36.8161            876
    1         1         1         37.817            902
    1         1         1        38.8071            928
    1         1         1        39.7867            954
    1         1         1        40.7558            980
    1         1         2        6.06379            200
    1         1         2        9.03976            256
    1         1         2        12.0435            312
    1         1         2        15.0515            368
    1         1         2         18.058            424
    1         1         2        21.0201            480
    1         1         2        23.9217            536
    1         1         2        26.7862            592
    1         1         2        29.6146            648
    1         1         2        32.4066            704
    1         1         2        35.1628            760
    1         1         2        37.8835            816
    1         1         2        40.5693            872
    1         1         2        43.2206            928
