* Fiiting funtion = par[0] + par[1]*x && y=a*x+b (y=Energy, x=Ch), so a = par[1], b = par[0];  0.0 isn't a peak
* SSDNum CHNum    par0(a)   err_par0     par1(b)      err_par1       peak1     peak2     peak3      peak4     peak5   peak6     peak7     peak8      peak9     peak10    peak11 
 2        13    0.00028499  0.00000021  -0.02314841  0.00048133   3587.5    3238.5    2888.5     2537.5     2188.5     1837.5     1486.5    1136.5    782.5      427.5      0.0      
 2        14    0.00028394  0.00000018  -0.02736037  0.00041551   3616.5    3265.5    2913.5     2561.5     2211.5     1858.5     1506.5    1155.5    800.5      444.5      0.0      
 2        15    0.00028063  0.00000021  -0.01963251  0.00048748   3630.5    3276.5    2920.5     2564.5     2210.5     1853.5     1496.5    1141.5    782.5      421.5      0.0      
 3        0     0.00031523  0.00000046  -0.03522252  0.00096108   3274.5    2970.5    2653.5     2334.5     2016.5     1700.5     1381.5    1061.5    745.5      426.5      0.0      
 3        1     0.00032617  0.00000051  -0.02455002  0.00099908   3131.5    2837.5    2531.5     2224.5     1916.5     1610.5     1303.5    993.5     687.5      378.5      0.0      
 3        2     0.00031498  0.00000049  -0.02610115  0.00100942   3247.5    2943.5    2626.5     2308.5     1989.5     1672.5     1354.5    1033.5    716.5      397.5      0.0      
 3        3     0.00033754  0.00000052  -0.02641897  0.00099495   3031.5    2748.5    2451.5     2154.5     1857.5     1561.5     1264.5    965.5     670.5      371.5      0.0      
 3        4     0.00030840  0.00000040  -0.02851930  0.00083168   3326.5    3014.5    2689.5     2364.5     2039.5     1715.5     1390.5    1063.5    740.5      414.5      0.0      
 3        5     0.00033272  0.00000050  -0.02466645  0.00096677   3070.5    2782.5    2481.5     2180.5     1879.5     1579.5     1277.5    974.5     674.5      371.5      0.0      
 3        6     0.00031169  0.00000044  -0.02381457  0.00089995   3275.5    2967.5    2646.5     2324.5     2003.5     1682.5     1360.5    1037.5    717.5      394.5      0.0      
 3        7     0.00031315  0.00000049  -0.02419598  0.00100090   3260.5    2954.5    2635.5     2315.5     1995.5     1676.5     1356.5    1033.5    714.5      393.5      0.0      
 3        8     0.00030876  0.00000049  -0.02260064  0.00101716   3301.5    2991.5    2667.5     2343.5     2018.5     1695.5     1370.5    1043.5    719.5      393.5      0.0      
 3        9     0.00032025  0.00000042  -0.02222852  0.00084848   3183.5    2883.5    2570.5     2257.5     1943.5     1632.5     1319.5    1004.5    693.5      379.5      0.0      
 3        10    0.00031914  0.00000045  -0.03132036  0.00092312   3222.5    2921.5    2608.5     2293.5     1979.5     1667.5     1352.5    1036.5    724.5      408.5      0.0      
 3        11    0.00033282  0.00000052  -0.02545003  0.00101179   3071.5    2783.5    2483.5     2182.5     1881.5     1581.5     1279.5    976.5     676.5      373.5      0.0      
 3        12    0.00030854  0.00000044  -0.03085502  0.00093397   3331.5    3020.5    2696.5     2371.5     2046.5     1722.5     1397.5    1070.5    747.5      421.5      0.0      
 3        13    0.00030121  0.00000039  -0.02331584  0.00084022   3388.5    3069.5    2736.5     2403.5     2070.5     1739.5     1406.5    1071.5    740.5      407.5      0.0      
 3        14    0.00030089  0.00000041  -0.02329079  0.00088256   3391.5    3072.5    2739.5     2406.5     2072.5     1741.5     1407.5    1072.5    741.5      407.5      0.0      
 3        15    0.00035024  0.00000056  -0.02545143  0.00103236   2918.5    2645.5    2360.5     2073.5     1787.5     1502.5     1216.5    927.5     642.5      355.5      0.0 
