*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
115.000000	30255     	115.000000	29842.2   	115.000000	29908.6   	115.000000	29942.5   	115.000000	324.272   	115.000000	158.107   	115.000000	272.451   	115.000000	224.432   	115.000000	282.29
120.000000	32533     	120.000000	32111     	120.000000	32171.9   	120.000000	32209.5   	120.000000	348.098   	120.000000	169.21    	120.000000	292.378   	120.000000	240.414   	120.000000	303.298
125.000000	34876.3   	125.000000	34445.3   	125.000000	34500.7   	125.000000	34542.1   	125.000000	372.517   	125.000000	180.569   	125.000000	312.812   	125.000000	256.791   	125.000000	324.885
130.000000	37283.9   	130.000000	36843.8   	130.000000	36893.8   	130.000000	36939     	130.000000	397.513   	130.000000	192.185   	130.000000	333.738   	130.000000	273.553   	130.000000	347.038
135.000000	39754.4   	135.000000	39305.1   	135.000000	39349.6   	135.000000	39399     	135.000000	423.06    	135.000000	204.048   	135.000000	355.14    	135.000000	290.69    	135.000000	369.741
140.000000	42287     	140.000000	41828     	140.000000	41867     	140.000000	41920.8   	140.000000	449.137   	140.000000	216.144   	140.000000	377.003   	140.000000	308.188   	140.000000	392.98
145.000000	44880.6   	145.000000	44411.2   	145.000000	44445     	145.000000	44503.3   	145.000000	475.735   	145.000000	228.471   	145.000000	399.317   	145.000000	326.043   	145.000000	416.747
150.000000	47534.1   	150.000000	47053.6   	150.000000	47082.5   	150.000000	47145.4   	150.000000	502.838   	150.000000	241.025   	150.000000	422.068   	150.000000	344.245   	150.000000	441.029
155.000000	50285.1   	155.000000	49754     	155.000000	49778.3   	155.000000	49845.9   	155.000000	530.429   	155.000000	253.8     	155.000000	445.244   	155.000000	362.786   	155.000000	465.816
160.000000	53093.2   	160.000000	52511.2   	160.000000	52531.6   	160.000000	52603.8   	160.000000	558.492   	160.000000	266.791   	160.000000	468.833   	160.000000	381.658   	160.000000	491.096
165.000000	55956.1   	165.000000	55324.2   	165.000000	55340.8   	165.000000	55418.1   	165.000000	587.007   	165.000000	279.989   	165.000000	492.821   	165.000000	400.849   	165.000000	516.855
170.000000	58872.7   	170.000000	58192     	170.000000	58205.1   	170.000000	58287.8   	170.000000	615.956   	170.000000	293.391   	170.000000	517.196   	170.000000	420.352   	170.000000	543.083
175.000000	61842.2   	175.000000	61113.5   	175.000000	61123.7   	175.000000	61211.8   	175.000000	645.333   	175.000000	306.995   	175.000000	541.948   	175.000000	440.162   	175.000000	569.772
180.000000	64863.5   	180.000000	64087.7   	180.000000	64095.7   	180.000000	64189.3   	180.000000	675.125   	180.000000	320.792   	180.000000	567.068   	180.000000	460.271   	180.000000	596.912
185.000000	67935.8   	185.000000	67113.7   	185.000000	67120     	185.000000	67219.2   	185.000000	705.318   	185.000000	334.772   	185.000000	592.546   	185.000000	480.672   	185.000000	624.494
190.000000	71058.2   	190.000000	70190.6   	190.000000	70195.8   	190.000000	70300.7   	190.000000	735.9     	190.000000	348.939   	190.000000	618.371   	190.000000	501.358   	190.000000	652.508
195.000000	74229.9   	195.000000	73317.3   	195.000000	73322.3   	195.000000	73432.8   	195.000000	766.856   	195.000000	363.29    	195.000000	644.533   	195.000000	522.322   	195.000000	680.945
