Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
560.000000	0.0344426 	560.000000	0.0256543 	560.000000	0.0256442 	560.000000	0.0254605 	560.000000	0.0256496 	560.000000	4.7419e-06	
580.000000	0.0339613 	580.000000	0.0253383 	580.000000	0.0253327 	580.000000	0.0251507 	580.000000	0.0253337 	580.000000	4.59169e-06	
600.000000	0.0335137 	600.000000	0.0250448 	600.000000	0.0250436 	600.000000	0.0248637 	600.000000	0.0250403 	600.000000	4.45105e-06	
620.000000	0.0330966 	620.000000	0.0247718 	620.000000	0.0247755 	620.000000	0.0245973 	620.000000	0.0247674 	620.000000	4.31908e-06	
640.000000	0.0327073 	640.000000	0.0245174 	640.000000	0.0245269 	640.000000	0.0243496 	640.000000	0.0245132 	640.000000	4.19501e-06	
660.000000	0.0323435 	660.000000	0.0242799 	660.000000	0.0242957 	660.000000	0.0241189 	660.000000	0.0242758 	660.000000	4.07814e-06	
680.000000	0.0320029 	680.000000	0.024058  	680.000000	0.0240798 	680.000000	0.0239037 	680.000000	0.024054  	680.000000	3.96784e-06	
700.000000	0.0316838 	700.000000	0.0238503 	700.000000	0.0238783 	700.000000	0.0237026 	700.000000	0.0238464 	700.000000	3.86357e-06	
720.000000	0.0313845 	720.000000	0.0236557 	720.000000	0.02369   	720.000000	0.0235147 	720.000000	0.0236519 	720.000000	3.76485e-06	
740.000000	0.0311033 	740.000000	0.0234731 	740.000000	0.023513  	740.000000	0.0233386 	740.000000	0.0234694 	740.000000	3.67123e-06	
760.000000	0.030839  	760.000000	0.0233016 	760.000000	0.0233462 	760.000000	0.0231736 	760.000000	0.023298  	760.000000	3.58233e-06	
780.000000	0.0305903 	780.000000	0.0231404 	780.000000	0.0231895 	780.000000	0.0230188 	780.000000	0.0231369 	780.000000	3.4978e-06	
800.000000	0.0303561 	800.000000	0.0229888 	800.000000	0.0230431 	800.000000	0.0228734 	800.000000	0.0229854 	800.000000	3.41731e-06	
820.000000	0.0301354 	820.000000	0.022846  	820.000000	0.022906  	820.000000	0.0227366 	820.000000	0.0228426 	820.000000	3.34057e-06	
840.000000	0.0299274 	840.000000	0.0227114 	840.000000	0.0227772 	840.000000	0.022608  	840.000000	0.0227081 	840.000000	3.26734e-06	
860.000000	0.0297311 	860.000000	0.0225845 	860.000000	0.0226556 	860.000000	0.0224868 	860.000000	0.0225813 	860.000000	3.19737e-06	
880.000000	0.0295458 	880.000000	0.0224648 	880.000000	0.022541  	880.000000	0.0223727 	880.000000	0.0224617 	880.000000	3.13044e-06	
900.000000	0.0293709 	900.000000	0.0223518 	900.000000	0.0224331 	900.000000	0.022265  	900.000000	0.0223487 	900.000000	3.06636e-06	
