*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
70.000000	22390.8   	70.000000	22084.6   	70.000000	22509.4   	70.000000	22518.7   	70.000000	564.424   	70.000000	280.151   	70.000000	190.417   	70.000000	159.357   	70.000000	185.023
75.000000	25296.9   	75.000000	24973.2   	75.000000	25449     	75.000000	25460     	75.000000	637.499   	75.000000	314.395   	75.000000	214.935   	75.000000	179.138   	75.000000	209.118
80.000000	28351.6   	80.000000	28011.9   	80.000000	28540     	80.000000	28552.9   	80.000000	714.118   	80.000000	350.158   	80.000000	240.64    	80.000000	199.817   	80.000000	234.432
85.000000	31551.5   	85.000000	31197.2   	85.000000	31779.2   	85.000000	31794     	85.000000	794.165   	85.000000	387.401   	85.000000	267.498   	85.000000	221.369   	85.000000	260.937
90.000000	34893.8   	90.000000	34525.8   	90.000000	35163.4   	90.000000	35180.1   	90.000000	877.535   	90.000000	426.064   	90.000000	295.476   	90.000000	243.771   	90.000000	288.606
95.000000	38375.4   	95.000000	37994.5   	95.000000	38689.2   	95.000000	38708.2   	95.000000	964.098   	95.000000	466.073   	95.000000	324.536   	95.000000	266.995   	95.000000	317.407
100.000000	41993.7   	100.000000	41600.4   	100.000000	42353.6   	100.000000	42375.3   	100.000000	1053.76   	100.000000	507.398   	100.000000	354.649   	100.000000	291.021   	100.000000	347.314
105.000000	45745.9   	105.000000	45340.5   	105.000000	46154.2   	105.000000	46178.6   	105.000000	1146.44   	105.000000	550.042   	105.000000	385.788   	105.000000	315.829   	105.000000	378.307
110.000000	49629.7   	110.000000	49212     	110.000000	50088.2   	110.000000	50115.4   	110.000000	1242.04   	110.000000	593.966   	110.000000	417.922   	110.000000	341.399   	110.000000	410.359
115.000000	53642.7   	115.000000	53212.2   	115.000000	54153     	115.000000	54183     	115.000000	1340.47   	115.000000	639.132   	115.000000	451.026   	115.000000	367.711   	115.000000	443.449
