Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
31.000000	0.0312811 	31.000000	0.0306024 	31.000000	0.0298149 	31.000000	0.0298141 	31.000000	0.0305881 	31.000000	1.42547e-05	
33.000000	0.0297374 	33.000000	0.0291099 	33.000000	0.0283868 	33.000000	0.0283823 	33.000000	0.0290964 	33.000000	1.34679e-05	
35.000000	0.0283572 	35.000000	0.0277732 	35.000000	0.0271065 	35.000000	0.027099  	35.000000	0.0277604 	35.000000	1.27666e-05	
38.000000	0.0265401 	38.000000	0.0260102 	38.000000	0.0254158 	38.000000	0.0254045 	38.000000	0.0259983 	38.000000	1.18467e-05	
41.000000	0.0249704 	41.000000	0.0244846 	41.000000	0.0239507 	41.000000	0.0239362 	41.000000	0.0244735 	41.000000	1.10552e-05	
44.000000	0.0236    	44.000000	0.023151  	44.000000	0.0226678 	44.000000	0.0226509 	44.000000	0.0231406 	44.000000	1.03667e-05	
47.000000	0.0223924 	47.000000	0.0219748 	47.000000	0.0215352 	47.000000	0.0215157 	47.000000	0.021965  	47.000000	9.76206e-06	
50.000000	0.0213198 	50.000000	0.0209293 	50.000000	0.0205247 	50.000000	0.0205054 	50.000000	0.0209201 	50.000000	9.22665e-06	
55.000000	0.0197747 	55.000000	0.0194227 	55.000000	0.0190671 	55.000000	0.0190468 	55.000000	0.0194143 	55.000000	8.45832e-06	
60.000000	0.0184702 	60.000000	0.0181504 	60.000000	0.0178343 	60.000000	0.0178124 	60.000000	0.0181426 	60.000000	7.81242e-06	
65.000000	0.017353  	65.000000	0.017061  	65.000000	0.0167748 	65.000000	0.0167535 	65.000000	0.0170538 	65.000000	7.26153e-06	
70.000000	0.0163848 	70.000000	0.0161174 	70.000000	0.015858  	70.000000	0.0158347 	70.000000	0.0161106 	70.000000	6.78589e-06	
75.000000	0.0155371 	75.000000	0.0152918 	75.000000	0.0150516 	75.000000	0.0150294 	75.000000	0.0152855 	75.000000	6.3709e-06	
80.000000	0.0147883 	80.000000	0.0145632 	80.000000	0.0143408 	80.000000	0.0143177 	80.000000	0.0145572 	80.000000	6.00552e-06	
85.000000	0.0141216 	85.000000	0.0139153 	85.000000	0.0137058 	85.000000	0.0136838 	85.000000	0.0139096 	85.000000	5.68125e-06	
