Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
19850.187869	1.30771e+07	1.59432e+07	2.21955e+07	2.23027e+07	30954.9   	85945.8   	12784.8   	13671.4   	20034.7   
19943.820826	1.31045e+07	1.59915e+07	2.22946e+07	2.24023e+07	31024.7   	86463.6   	12820.9   	13709.2   	20092.2   
20037.453783	1.31312e+07	1.60391e+07	2.23936e+07	2.25017e+07	31093.5   	86985.2   	12856.7   	13746.8   	20149.2   
20131.086740	1.31569e+07	1.60857e+07	2.24923e+07	2.26008e+07	31161.1   	87512.3   	12892.3   	13784     	20205.6   
20224.719697	1.31827e+07	1.61324e+07	2.25909e+07	2.26999e+07	31228.7   	88039.4   	12927.8   	13821.2   	20262     
20318.352654	1.32084e+07	1.6179e+07	2.26896e+07	2.2799e+07	31296.3   	88566.5   	12963.4   	13858.4   	20318.4   
20411.985610	1.32341e+07	1.62257e+07	2.27883e+07	2.28981e+07	31364     	89093.6   	12998.9   	13895.5   	20374.8   
20505.618567	1.32599e+07	1.62723e+07	2.2887e+07	2.29972e+07	31431.6   	89620.7   	13034.5   	13932.7   	20431.2   
20599.251524	1.32856e+07	1.6319e+07	2.29857e+07	2.30963e+07	31499.2   	90147.8   	13070     	13969.9   	20487.6   
20692.884481	1.33113e+07	1.63656e+07	2.30844e+07	2.31953e+07	31566.8   	90674.9   	13105.5   	14007     	20544.1   
20786.517438	1.33371e+07	1.64123e+07	2.31831e+07	2.32944e+07	31634.4   	91202     	13141.1   	14044.2   	20600.5   
20880.150395	1.33628e+07	1.64589e+07	2.32818e+07	2.33935e+07	31702     	91729.1   	13176.6   	14081.4   	20656.9   
20973.783352	1.33885e+07	1.65056e+07	2.33805e+07	2.34926e+07	31769.6   	92256.2   	13212.2   	14118.6   	20713.3   
21067.416309	1.34132e+07	1.65511e+07	2.34789e+07	2.35914e+07	31835.8   	92789.7   	13247.4   	14155.3   	20769     
21161.049266	1.34375e+07	1.65963e+07	2.35771e+07	2.36901e+07	31901.5   	93325.7   	13282.5   	14191.8   	20824.4   
21254.682223	1.34617e+07	1.66414e+07	2.36754e+07	2.37888e+07	31967.2   	93861.7   	13317.6   	14228.3   	20879.9   
21348.315180	1.3486e+07	1.66866e+07	2.37737e+07	2.38874e+07	32032.9   	94397.7   	13352.7   	14264.8   	20935.4   
21441.948137	1.35103e+07	1.67317e+07	2.38719e+07	2.39861e+07	32098.5   	94933.7   	13387.8   	14301.4   	20990.8   
21535.581094	1.35345e+07	1.67769e+07	2.39702e+07	2.40848e+07	32164.2   	95469.7   	13422.9   	14337.9   	21046.3   
21629.214051	1.35588e+07	1.6822e+07	2.40685e+07	2.41834e+07	32229.9   	96005.7   	13458     	14374.4   	21101.7   
21722.847007	1.35831e+07	1.68671e+07	2.41667e+07	2.42821e+07	32295.6   	96541.7   	13493     	14410.9   	21157.2   
