Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
140.000000	0.00588034	140.000000	0.00672375	140.000000	0.00671289	140.000000	0.00670019	140.000000	0.00672118	140.000000	2.57065e-06	
145.000000	0.00573483	145.000000	0.00656164	145.000000	0.0065503 	145.000000	0.00653748	145.000000	0.00655915	145.000000	2.48869e-06	
150.000000	0.00559832	150.000000	0.00640987	150.000000	0.00639755	150.000000	0.00638514	150.000000	0.00640746	150.000000	2.41198e-06	
155.000000	0.00540612	155.000000	0.0062675 	155.000000	0.00625468	155.000000	0.0062422 	155.000000	0.00626516	155.000000	2.34002e-06	
160.000000	0.00529346	160.000000	0.00613366	160.000000	0.00612042	160.000000	0.00610781	160.000000	0.00613138	160.000000	2.27237e-06	
165.000000	0.00518723	165.000000	0.00600761	165.000000	0.00599348	165.000000	0.00598124	165.000000	0.0060054 	165.000000	2.20867e-06	
170.000000	0.00508687	170.000000	0.00588868	170.000000	0.00587403	170.000000	0.00586182	170.000000	0.00588653	170.000000	2.14856e-06	
175.000000	0.00499192	175.000000	0.00577629	175.000000	0.00576135	175.000000	0.00574895	175.000000	0.0057742 	175.000000	2.09175e-06	
180.000000	0.00490193	180.000000	0.00566991	180.000000	0.00565436	180.000000	0.00564212	180.000000	0.00566787	180.000000	2.03796e-06	
185.000000	0.00481652	185.000000	0.00556907	185.000000	0.00555273	185.000000	0.00554086	185.000000	0.00556708	185.000000	1.98698e-06	
190.000000	0.00473535	190.000000	0.00547335	190.000000	0.00545631	190.000000	0.00544474	190.000000	0.00547141	190.000000	1.93856e-06	
195.000000	0.00465811	195.000000	0.00538236	195.000000	0.00536496	195.000000	0.00535338	195.000000	0.00538047	195.000000	1.89254e-06	
