* numtel = ssdindex * 9 + csiindex
* numtel      Z         A         ECsI_MeV        ECsI_Ch
    1         1         2        74.4274           1708
    1         1         2        76.5886           1760
    1         1         3        4.22177            200
    1         1         3        8.08153            274
    1         1         3        12.3299            348
    1         1         3        16.9422            422
    1         1         3        21.8889            496
    1         1         3        27.0842            570
    1         1         3        32.2101            644
    1         1         3        37.0833            718
    1         1         3        41.6001            792
    1         1         3        45.6773            866
    1         1         3           49.3            940
    1         1         3        52.5217           1014
    1         1         3        55.4464           1088
    1         1         3        58.2041           1162
    1         1         3        60.9279           1236
    1         1         3        63.7367           1310
    1         1         3        66.7224           1384
    1         1         3        69.9409           1458
    1         1         3        73.4036           1532
    1         1         3        77.0695           1606
    1         1         3        80.8392           1680
    1         1         3        84.5544           1754
    1         1         3        88.0108           1828
    1         1         3        90.9903           1902
    1         1         3        93.3143           1976
    1         1         3        94.9123           2050
    1         1         3        95.8894           2124
    1         1         3        96.5773           2198
    1         1         3        97.5781           2272
    1         1         3        99.8482           2346
    1         1         3        104.956           2420
    1         2         3        4.37797            200
    1         2         3        9.01656            284
    1         2         3        13.4356            368
    1         2         3        17.7882            452
    1         2         3        22.1222            536
    1         2         3        26.4449            620
    1         2         3        30.7367            704
    1         2         3        34.9719            788
    1         2         3        39.1661            872
    1         2         3         43.312            956
    1         2         3         47.406           1040
    1         2         3         51.449           1124
    1         2         3        55.4463           1208
    1         2         3        59.4078           1292
    1         2         3        63.3479           1376
    1         2         3         67.285           1460
    1         2         3        71.2397           1544
    1         2         3        75.2338           1628
    1         2         3        79.2896           1712
    1         2         3        83.4268           1796
    1         2         3        87.6628           1880
    1         2         3        92.0101           1964
    1         2         3        96.4755           2048
    1         2         3        101.058           2132
    1         2         3        105.749           2216
    1         2         3        110.533           2300
    1         2         3        115.386           2384
    1         2         3        120.279           2468
    1         2         3        125.183           2552
    1         2         3        130.072           2636
    1         2         3        134.933           2720
    1         2         4        4.45193            200
    1         2         4        12.1275            330
    1         2         4        19.0296            460
    1         2         4          25.74            590
    1         2         4        32.3889            720
    1         2         4        38.9891            850
    1         2         4         45.455            980
    1         2         4         51.839           1110
    1         2         4        58.1363           1240
    1         2         4        64.3578           1370
    1         2         4        70.5261           1500
    1         2         4        76.6737           1630
    1         2         4        82.8389           1760
    1         2         4        89.0591           1890
    1         2         4        95.3653           2020
    1         2         4        101.773           2150
    1         2         4        108.277           2280
    1         2         4        114.847           2410
    1         2         4        121.424           2540
    1         2         4        127.928           2670
    1         2         4         134.27           2800
    1         2         4        140.375           2930
    1         2         4        146.219           3060
    1         2         4        151.876           3190
    1         2         4        157.577           3320
    1         2         4        163.794           3450
    1         2         4        171.356           3580
    1         2         4        181.679           3710
    1         2         4        197.275           3840
    1         2         4        223.124           3970
    1         2         4        271.012           4100
    1         2         6        4.02449            200
    1         2         6         12.362            334
    1         2         6         19.822            468
    1         2         6        27.0423            602
    1         2         6        34.1442            736
    1         2         6        41.1587            870
    1         2         6        48.0624           1004
    1         2         6        54.8268           1138
    1         2         6        61.3936           1272
    1         2         6        67.7292           1406
    1         2         6        73.9313           1540
    1         2         6        80.0209           1674
    1         2         6        86.0563           1808
    1         2         6        92.0944           1942
    1         2         6        98.1954           2076
    1         2         6        104.414           2210
    1         2         6        110.794           2344
    1         2         6        117.362           2478
    1         2         6        124.124           2612
    1         2         6         131.06           2746
    1         2         6        138.124           2880
    1         2         6        145.243           3014
    1         2         6         152.33           3148
    1         2         6        159.299           3282
    1         2         6        166.085           3416
    1         2         6        172.687           3550
    1         2         6         179.21           3684
    1         2         6        185.925           3818
    1         2         6        193.349           3952
    1         2         6        202.357           4086
    1         2         6        214.412           4220
    1         3         6        4.54176            200
    1         3         6        14.8766            335
    1         3         6        23.7999            470
    1         3         6        32.1957            605
    1         3         6         40.275            740
    1         3         6         48.095            875
    1         3         6        55.6717           1010
    1         3         6        62.9791           1145
    1         3         6        70.0577           1280
    1         3         6        76.9477           1415
    1         3         6        83.6854           1550
    1         3         6        90.3095           1685
    1         3         6        96.8623           1820
    1         3         6        103.384           1955
    1         3         6         109.91           2090
    1         3         6        116.467           2225
    1         3         6        123.072           2360
    1         3         6        129.727           2495
    1         3         6        136.422           2630
    1         3         6         143.13           2765
    1         3         6         149.82           2900
    1         3         6        156.454           3035
    1         3         6        163.007           3170
    1         3         6        169.477           3305
    1         3         6        175.911           3440
    1         3         6        182.433           3575
    1         3         6        189.278           3710
    1         3         6        196.849           3845
    1         3         6        205.788           3980
    1         3         6         217.11           4115
