*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
19.000000	1230.23   	19.000000	1194.09   	19.000000	1220.31   	19.000000	1219.85   	19.000000	9.63814   	19.000000	5.52866   	19.000000	8.61274   	19.000000	8.06796   	19.000000	8.7654
20.000000	1341.33   	20.000000	1301.04   	20.000000	1330.03   	20.000000	1329.49   	20.000000	10.4979   	20.000000	6.00019   	20.000000	9.35117   	20.000000	8.72282   	20.000000	9.51901
21.000000	1456.55   	21.000000	1411.95   	21.000000	1443.64   	21.000000	1443.03   	21.000000	11.3872   	21.000000	6.48539   	21.000000	10.1137   	21.000000	9.39677   	21.000000	10.2974
22.000000	1575.84   	22.000000	1526.8    	22.000000	1561.11   	22.000000	1560.43   	22.000000	12.3056   	22.000000	6.98398   	22.000000	10.9      	22.000000	10.0895   	22.000000	11.1002
23.000000	1699.16   	23.000000	1645.55   	23.000000	1682.37   	23.000000	1681.63   	23.000000	13.2526   	23.000000	7.49552   	23.000000	11.7097   	23.000000	10.8006   	23.000000	11.9271
24.000000	1826.46   	24.000000	1768.17   	24.000000	1807.38   	24.000000	1806.58   	24.000000	14.2276   	24.000000	8.01968   	24.000000	12.5422   	24.000000	11.5297   	24.000000	12.7775
25.000000	1957.69   	25.000000	1894.64   	25.000000	1936.09   	25.000000	1935.24   	25.000000	15.2303   	25.000000	8.55626   	25.000000	13.3974   	25.000000	12.2766   	25.000000	13.6514
27.000000	2231.82   	27.000000	2159      	27.000000	2204.46   	27.000000	2203.53   	27.000000	17.3178   	27.000000	9.66598   	27.000000	15.1746   	27.000000	13.8225   	27.000000	15.4679
29.000000	2521.24   	29.000000	2438.44   	29.000000	2487.18   	29.000000	2486.19   	29.000000	19.5123   	29.000000	10.8228   	29.000000	17.0386   	29.000000	15.4361   	29.000000	17.3743
31.000000	2825.65   	31.000000	2732.72   	31.000000	2784.03   	31.000000	2783.03   	31.000000	21.8131   	31.000000	12.0256   	31.000000	18.9884   	31.000000	17.1164   	31.000000	19.3694
33.000000	3144.8    	33.000000	3041.66   	33.000000	3095.4    	33.000000	3094.44   	33.000000	24.2322   	33.000000	13.2811   	33.000000	21.0282   	33.000000	18.8667   	33.000000	21.4579
35.000000	3478.44   	35.000000	3365.05   	35.000000	3421.16   	35.000000	3420.28   	35.000000	26.7682   	35.000000	14.5885   	35.000000	23.158    	35.000000	20.6869   	35.000000	23.6398
38.000000	4005.53   	38.000000	3876.84   	38.000000	3936.29   	38.000000	3935.64   	38.000000	30.7847   	38.000000	16.6429   	38.000000	26.5188   	38.000000	23.5461   	38.000000	27.0853
41.000000	4563.94   	41.000000	4420.12   	41.000000	4482.61   	41.000000	4482.31   	41.000000	35.0483   	41.000000	18.806    	41.000000	30.0753   	41.000000	26.557    	41.000000	30.7349
44.000000	5152.99   	44.000000	4994.3    	44.000000	5059.46   	44.000000	5059.63   	44.000000	39.5508   	44.000000	21.0723   	44.000000	33.8232   	44.000000	29.716    	44.000000	34.5846
47.000000	5772.02   	47.000000	5598.84   	47.000000	5666.25   	47.000000	5667.03   	47.000000	44.285    	47.000000	23.4385   	47.000000	37.758    	47.000000	33.0193   	47.000000	38.6302
50.000000	6420.45   	50.000000	6233.19   	50.000000	6302.44   	50.000000	6303.93   	50.000000	49.245    	50.000000	25.9018   	50.000000	41.8756   	50.000000	36.4637   	50.000000	42.868
55.000000	7564.98   	55.000000	7355.3    	55.000000	7426.79   	55.000000	7429.59   	55.000000	58.0003   	55.000000	30.2176   	55.000000	49.1347   	55.000000	42.5099   	55.000000	50.3497
60.000000	8787.2    	60.000000	8556.54   	60.000000	8629      	60.000000	8633.5    	60.000000	67.3394   	60.000000	34.7842   	60.000000	56.8716   	60.000000	48.924    	60.000000	58.338
65.000000	10084.9   	65.000000	9834.77   	65.000000	9907.18   	65.000000	9913.54   	65.000000	77.244    	65.000000	39.5903   	65.000000	65.0711   	65.000000	55.6939   	65.000000	66.8195
