*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
50.000000	3936.82   	50.000000	3867.67   	50.000000	3936.54   	50.000000	3933.97   	50.000000	34.8916   	50.000000	17.9802   	50.000000	11.0322   	50.000000	10.1232   	50.000000	10.8337
55.000000	4661.47   	55.000000	4584.48   	55.000000	4666.47   	55.000000	4664.61   	55.000000	41.3799   	55.000000	21.108    	55.000000	13.0644   	55.000000	11.91     	55.000000	12.8515
60.000000	5438.33   	60.000000	5354.09   	60.000000	5449.45   	60.000000	5448.49   	60.000000	48.3234   	60.000000	24.4316   	60.000000	15.2376   	60.000000	13.8114   	60.000000	15.0145
65.000000	6266.06   	65.000000	6175.16   	65.000000	6284.01   	65.000000	6284.29   	65.000000	55.704    	65.000000	27.9402   	65.000000	17.5469   	65.000000	15.8233   	65.000000	17.3184
70.000000	7143.39   	70.000000	7046.39   	70.000000	7168.96   	70.000000	7170.72   	70.000000	63.5094   	70.000000	31.6312   	70.000000	19.9884   	70.000000	17.9425   	70.000000	19.7599
75.000000	8069.14   	75.000000	7966.58   	75.000000	8103.09   	75.000000	8106.61   	75.000000	71.7246   	75.000000	35.497    	75.000000	22.5578   	75.000000	20.1654   	75.000000	22.3354
80.000000	9042.22   	80.000000	8934.56   	80.000000	9085.2    	80.000000	9090.82   	80.000000	80.335    	80.000000	39.5336   	80.000000	25.251    	80.000000	22.4889   	80.000000	25.0414
85.000000	10061.6   	85.000000	9949.25   	85.000000	10114.3   	85.000000	10122.3   	85.000000	89.3303   	85.000000	43.7338   	85.000000	28.0649   	85.000000	24.9104   	85.000000	27.8752
90.000000	11126.3   	90.000000	11009.6   	90.000000	11189.4   	90.000000	11200     	90.000000	98.6979   	90.000000	48.0965   	90.000000	30.9957   	90.000000	27.4271   	90.000000	30.8337
95.000000	12235.4   	95.000000	12114.6   	95.000000	12309.6   	95.000000	12322.9   	95.000000	108.426   	95.000000	52.6168   	95.000000	34.0401   	95.000000	30.0363   	95.000000	33.914
100.000000	13388     	100.000000	13263.2   	100.000000	13473.7   	100.000000	13490.2   	100.000000	118.502   	100.000000	57.2882   	100.000000	37.1948   	100.000000	32.7356   	100.000000	37.1134
105.000000	14583.3   	105.000000	14454.7   	105.000000	14681.1   	105.000000	14700.8   	105.000000	128.917   	105.000000	62.1047   	105.000000	40.4567   	105.000000	35.5226   	105.000000	40.4291
110.000000	15820.5   	110.000000	15688     	110.000000	15930.7   	110.000000	15954.1   	110.000000	139.658   	110.000000	67.0615   	110.000000	43.8226   	110.000000	38.395    	110.000000	43.8584
115.000000	17098.9   	115.000000	16962.3   	115.000000	17221.8   	115.000000	17249     	115.000000	150.715   	115.000000	72.1591   	115.000000	47.2897   	115.000000	41.3504   	115.000000	47.399
120.000000	18417.7   	120.000000	18276.7   	120.000000	18553.5   	120.000000	18584.8   	120.000000	162.08    	120.000000	77.3932   	120.000000	50.8551   	120.000000	44.3869   	120.000000	51.0482
125.000000	19776.2   	125.000000	19630.6   	125.000000	19925.3   	125.000000	19960.8   	125.000000	173.746   	125.000000	82.7582   	125.000000	54.5166   	125.000000	47.5029   	125.000000	54.8045
130.000000	21173.8   	130.000000	21023.1   	130.000000	21336.2   	130.000000	21376.1   	130.000000	185.7     	130.000000	88.253    	130.000000	58.2711   	130.000000	50.696    	130.000000	58.6649
135.000000	22609.8   	135.000000	22453.4   	135.000000	22785.5   	135.000000	22830.1   	135.000000	197.933   	135.000000	93.8737   	135.000000	62.1161   	135.000000	53.9643   	135.000000	62.6272
140.000000	24083.6   	140.000000	23920.9   	140.000000	24272.5   	140.000000	24321.9   	140.000000	210.436   	140.000000	99.6139   	140.000000	66.0487   	140.000000	57.3058   	140.000000	66.689
145.000000	25594.7   	145.000000	25424.8   	145.000000	25796.4   	145.000000	25851.1   	145.000000	223.201   	145.000000	105.471   	145.000000	70.0668   	145.000000	60.7188   	145.000000	70.8484
150.000000	27142.4   	150.000000	26964.5   	150.000000	27356.7   	150.000000	27416.7   	150.000000	236.22    	150.000000	111.444   	150.000000	74.1679   	150.000000	64.2016   	150.000000	75.1032
155.000000	28748     	155.000000	28539.3   	155.000000	28952.6   	155.000000	29018.3   	155.000000	249.484   	155.000000	117.528   	155.000000	78.3497   	155.000000	67.7525   	155.000000	79.4514
160.000000	30388.4   	160.000000	30148.5   	160.000000	30583.6   	160.000000	30655.2   	160.000000	262.986   	160.000000	123.723   	160.000000	82.6101   	160.000000	71.3699   	160.000000	83.8912
165.000000	32062.3   	165.000000	31791.6   	165.000000	32249     	165.000000	32326.7   	165.000000	276.722   	165.000000	130.026   	165.000000	86.9471   	165.000000	75.0525   	165.000000	88.4207
170.000000	33769.1   	170.000000	33467.9   	170.000000	33948.5   	170.000000	34032.3   	170.000000	290.685   	170.000000	136.435   	170.000000	91.359    	170.000000	78.7989   	170.000000	93.0386
175.000000	35508.1   	175.000000	35176.9   	175.000000	35681.1   	175.000000	35771.4   	175.000000	304.865   	175.000000	142.948   	175.000000	95.8431   	175.000000	82.6072   	175.000000	97.7424
180.000000	37278.9   	180.000000	36917.9   	180.000000	37446.4   	180.000000	37543.3   	180.000000	319.255   	180.000000	149.561   	180.000000	100.397   	180.000000	86.476    	180.000000	102.53
185.000000	39081     	185.000000	38690.5   	185.000000	39243.9   	185.000000	39347.7   	185.000000	333.848   	185.000000	156.272   	185.000000	105.02    	185.000000	90.404    	185.000000	107.401
190.000000	40913.7   	190.000000	40494     	190.000000	41072.9   	190.000000	41183.8   	190.000000	348.638   	190.000000	163.081   	190.000000	109.71    	190.000000	94.3896   	190.000000	112.351
195.000000	42776.7   	195.000000	42328     	195.000000	42932.9   	195.000000	43051.2   	195.000000	363.619   	195.000000	169.984   	195.000000	114.464   	195.000000	98.4316   	195.000000	117.381
200.000000	44669.3   	200.000000	44192     	200.000000	44823.6   	200.000000	44949.3   	200.000000	378.789   	200.000000	176.977   	200.000000	119.281   	200.000000	102.529   	200.000000	122.489
210.000000	48541.8   	210.000000	48007.6   	210.000000	48694.8   	210.000000	48835.9   	210.000000	409.667   	210.000000	191.229   	210.000000	129.099   	210.000000	110.886   	210.000000	132.932
220.000000	52527.6   	220.000000	51937.2   	220.000000	52682.2   	220.000000	52839.6   	220.000000	441.218   	220.000000	205.826   	220.000000	139.148   	220.000000	119.448   	220.000000	143.667
230.000000	56623.2   	230.000000	55976.9   	230.000000	56782.1   	230.000000	56956.7   	230.000000	473.399   	230.000000	220.742   	230.000000	149.417   	230.000000	128.207   	230.000000	154.681
240.000000	60825.2   	240.000000	60123.4   	240.000000	60991     	240.000000	61183.5   	240.000000	506.176   	240.000000	235.968   	240.000000	159.893   	240.000000	137.155   	240.000000	165.964
250.000000	65130.4   	250.000000	64373.2   	250.000000	65305.9   	250.000000	65516.8   	250.000000	539.517   	250.000000	251.495   	250.000000	170.567   	250.000000	146.283   	250.000000	177.506
260.000000	69536     	260.000000	68723.1   	260.000000	69723.1   	260.000000	69953.1   	260.000000	573.378   	260.000000	267.307   	260.000000	181.427   	260.000000	155.584   	260.000000	189.297
270.000000	74038.9   	270.000000	73170.1   	270.000000	74239.3   	270.000000	74489.4   	270.000000	607.724   	270.000000	283.395   	270.000000	192.462   	270.000000	165.049   	270.000000	201.325
280.000000	78636.4   	280.000000	77711.2   	280.000000	78851.7   	280.000000	79122.6   	280.000000	642.525   	280.000000	299.748   	280.000000	203.662   	280.000000	174.671   	280.000000	213.582
290.000000	83325.8   	290.000000	82343.7   	290.000000	83557.5   	290.000000	83849.9   	290.000000	677.755   	290.000000	316.36    	290.000000	215.02    	290.000000	184.445   	290.000000	226.059
