*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG
19.000000	2752.2    	19.000000	2689.33   	19.000000	2745.95   	19.000000	2745.65   	19.000000	21.7557   	19.000000	12.475    	19.000000	20.1942   	19.000000	18.1069   	19.000000	20.4684
20.000000	3002.35   	20.000000	2930.16   	20.000000	2993.39   	20.000000	2993.06   	20.000000	23.695    	20.000000	13.5379   	20.000000	21.9349   	20.000000	19.5882   	20.000000	22.2338
21.000000	3261.78   	21.000000	3179.91   	21.000000	3249.63   	21.000000	3249.28   	21.000000	25.7011   	21.000000	14.6319   	21.000000	23.7321   	21.000000	21.1123   	21.000000	24.0566
22.000000	3530.37   	22.000000	3438.5    	22.000000	3514.58   	22.000000	3514.2    	22.000000	27.7734   	22.000000	15.7563   	22.000000	25.5852   	22.000000	22.6785   	22.000000	25.9363
23.000000	3808.03   	23.000000	3705.88   	23.000000	3788.11   	23.000000	3787.71   	23.000000	29.9104   	23.000000	16.9101   	23.000000	27.493    	23.000000	24.2859   	23.000000	27.8719
24.000000	4094.66   	24.000000	3981.99   	24.000000	4070.09   	24.000000	4069.69   	24.000000	32.1111   	24.000000	18.0926   	24.000000	29.4547   	24.000000	25.9338   	24.000000	29.8624
25.000000	4390.15   	25.000000	4266.75   	25.000000	4360.44   	25.000000	4360.06   	25.000000	34.3745   	25.000000	19.3033   	25.000000	31.4697   	25.000000	27.6216   	25.000000	31.9072
27.000000	5007.38   	27.000000	4862.02   	27.000000	4965.83   	27.000000	4965.58   	27.000000	39.0862   	27.000000	21.8063   	27.000000	35.6563   	27.000000	31.1144   	27.000000	36.1569
29.000000	5659.03   	29.000000	5491.19   	29.000000	5603.57   	29.000000	5603.55   	29.000000	44.0393   	29.000000	24.414    	29.000000	40.0472   	29.000000	34.7596   	29.000000	40.6155
31.000000	6344.45   	31.000000	6153.81   	31.000000	6273.28   	31.000000	6273.54   	31.000000	49.2343   	31.000000	27.1282   	31.000000	44.6405   	31.000000	38.5554   	31.000000	45.2815
33.000000	7063.05   	33.000000	6849.42   	33.000000	6975.66   	33.000000	6976.29   	33.000000	54.6939   	33.000000	29.9593   	33.000000	49.4448   	33.000000	42.5084   	33.000000	50.1638
35.000000	7814.26   	35.000000	7577.58   	35.000000	7710.42   	35.000000	7711.5    	35.000000	60.416    	35.000000	32.9063   	35.000000	54.46     	35.000000	46.6182   	35.000000	55.2624
38.000000	9001.07   	38.000000	8729.93   	38.000000	8872.28   	38.000000	8874.11   	38.000000	69.4781   	38.000000	37.5388   	38.000000	62.373    	38.000000	53.0732   	38.000000	63.3119
41.000000	10258.4   	41.000000	9953.18   	41.000000	10104.3   	41.000000	10107.1   	41.000000	79.0941   	41.000000	42.4111   	41.000000	70.7447   	41.000000	59.8687   	41.000000	71.834
44.000000	11584.7   	44.000000	11246     	44.000000	11405.3   	44.000000	11409.1   	44.000000	89.2514   	44.000000	47.5188   	44.000000	79.5668   	44.000000	66.9981   	44.000000	80.8218
47.000000	12978.5   	47.000000	12607.2   	47.000000	12773.8   	47.000000	12778.7   	47.000000	99.932    	47.000000	52.8557   	47.000000	88.8287   	47.000000	74.453    	47.000000	90.2653
50.000000	14438.5   	50.000000	14035.5   	50.000000	14208.4   	50.000000	14214.6   	50.000000	111.119   	50.000000	58.4098   	50.000000	98.519    	50.000000	82.2248   	50.000000	100.154
55.000000	17015.6   	55.000000	16562.1   	55.000000	16743.5   	55.000000	16752.2   	55.000000	130.858   	55.000000	68.134    	55.000000	115.599   	55.000000	95.8638   	55.000000	117.605
60.000000	19767.5   	60.000000	19266.8   	60.000000	19454.1   	60.000000	19465.9   	60.000000	151.916   	60.000000	78.4166   	60.000000	133.801   	60.000000	110.331   	60.000000	136.232
65.000000	22689.5   	65.000000	22144.9   	65.000000	22335.8   	65.000000	22350.8   	65.000000	174.247   	65.000000	89.2474   	65.000000	153.089   	65.000000	125.6     	65.000000	156.004
70.000000	25776.8   	70.000000	25191.8   	70.000000	25383.9   	70.000000	25402.6   	70.000000	197.795   	70.000000	100.592   	70.000000	173.423   	70.000000	141.638   	70.000000	176.881
75.000000	29025.3   	75.000000	28403.2   	75.000000	28594.6   	75.000000	28617.3   	75.000000	222.525   	75.000000	112.445   	75.000000	194.77    	75.000000	158.425   	75.000000	198.839
80.000000	32431     	80.000000	31775.1   	80.000000	31963.7   	80.000000	31990.8   	80.000000	248.388   	80.000000	124.776   	80.000000	217.096   	80.000000	175.934   	80.000000	221.843
85.000000	35990.3   	85.000000	35303.6   	85.000000	35487.5   	85.000000	35519.5   	85.000000	275.344   	85.000000	137.57    	85.000000	240.367   	85.000000	194.142   	85.000000	245.866
90.000000	39699.6   	90.000000	38984.9   	90.000000	39162.9   	90.000000	39199.9   	90.000000	303.366   	90.000000	150.819   	90.000000	264.559   	90.000000	213.031   	90.000000	270.885
95.000000	43555.8   	95.000000	42815.5   	95.000000	42986.2   	95.000000	43028.7   	95.000000	332.404   	95.000000	164.503   	95.000000	289.638   	95.000000	232.578   	95.000000	296.871
100.000000	47555.6   	100.000000	46792     	100.000000	46954     	100.000000	47002.6   	100.000000	362.428   	100.000000	178.612   	100.000000	315.576   	100.000000	252.764   	100.000000	323.799
105.000000	51696.3   	105.000000	50911.1   	105.000000	51063.8   	105.000000	51118.6   	105.000000	393.412   	105.000000	193.139   	105.000000	342.352   	105.000000	273.573   	105.000000	351.648
110.000000	55974.9   	110.000000	55169.7   	110.000000	55312.6   	110.000000	55373.7   	110.000000	425.325   	110.000000	208.065   	110.000000	369.94    	110.000000	294.988   	110.000000	380.399
115.000000	60388.9   	115.000000	59564.8   	115.000000	59697.4   	115.000000	59765.1   	115.000000	458.131   	115.000000	223.373   	115.000000	398.314   	115.000000	316.993   	115.000000	410.026
120.000000	64935.7   	120.000000	64093.4   	120.000000	64215     	120.000000	64290     	120.000000	491.792   	120.000000	239.059   	120.000000	427.446   	120.000000	339.567   	120.000000	440.505
125.000000	69613     	125.000000	68752.7   	125.000000	68863.2   	125.000000	68945.9   	125.000000	526.291   	125.000000	255.107   	125.000000	457.32    	125.000000	362.699   	125.000000	471.821
130.000000	74418.4   	130.000000	73540.1   	130.000000	73639.7   	130.000000	73730     	130.000000	561.605   	130.000000	271.518   	130.000000	487.914   	130.000000	386.375   	130.000000	503.955
135.000000	79349.6   	135.000000	78452.9   	135.000000	78541.6   	135.000000	78640.1   	135.000000	597.697   	135.000000	288.279   	135.000000	519.205   	135.000000	410.58    	135.000000	536.886
140.000000	84404.6   	140.000000	83488.5   	140.000000	83566.3   	140.000000	83673.6   	140.000000	634.539   	140.000000	305.368   	140.000000	551.168   	140.000000	435.296   	140.000000	570.592
145.000000	89581.4   	145.000000	88644.6   	145.000000	88712     	145.000000	88828.3   	145.000000	672.117   	145.000000	322.783   	145.000000	583.79    	145.000000	460.516   	145.000000	605.061
150.000000	94877.9   	150.000000	93918.7   	150.000000	93976.4   	150.000000	94101.9   	150.000000	710.407   	150.000000	340.52    	150.000000	617.052   	150.000000	486.226   	150.000000	640.275
155.000000	100369    	155.000000	99308.6   	155.000000	99357.3   	155.000000	99492.1   	155.000000	749.388   	155.000000	358.568   	155.000000	650.936   	155.000000	512.415   	155.000000	676.219
